"","Chennai Super Kings","Delhi Capitals","Kings XI Punjab","Kolkata Knight Riders","Mumbai Indians","Rajasthan Royals","Royal Challengers Bangalore"
"1",301,145,213,364,183,259,379
"2",263,155,195,354,176,224,362
"3",312,153,197,389,183,225,365
"4",281,174,227,359,202,224,386
"5",276,148,175,322,167,225,352
"6",277,158,210,363,184,232,379
"7",312,167,200,366,175,244,378
"8",284,156,192,359,185,232,394
"9",283,151,209,344,193,215,370
"10",287,158,191,340,180,253,365
"11",279,167,188,362,165,232,377
"12",268,169,192,334,181,243,366
"13",273,169,197,337,182,239,387
"14",289,168,212,337,206,263,601
"15",548,144,211,375,191,248,384
"16",273,158,182,347,156,235,374
"17",260,141,213,363,192,242,369
"18",303,154,197,360,204,234,386
"19",267,145,188,335,191,223,393
"20",314,141,195,349,176,230,343
"21",295,137,198,363,185,219,360
"22",260,143,194,341,219,220,354
"23",289,161,196,353,166,228,393
"24",315,297,212,361,202,231,360
"25",281,153,194,361,184,229,378
"26",269,162,197,350,210,237,393
"27",266,163,215,358,192,229,387
"28",336,139,186,341,359,208,367
"29",293,170,212,351,207,222,369
"30",280,153,208,340,225,226,365
"31",306,158,202,326,188,239,387
"32",844,171,218,337,205,247,370
"33",312,160,191,351,174,228,375
"34",276,150,203,347,202,256,377
"35",283,155,177,357,188,230,379
"36",276,140,187,343,638,222,340
"37",298,148,219,365,202,242,373
"38",258,153,206,339,175,241,352
"39",276,174,194,358,172,245,369
"40",295,164,206,349,193,239,378
"41",280,151,204,333,172,224,361
"42",296,158,192,343,183,229,374
"43",306,171,195,344,183,230,385
"44",266,142,185,365,170,234,370
"45",296,156,210,368,179,234,377
"46",285,154,211,390,176,239,433
"47",342,161,206,371,169,230,362
"48",315,138,191,349,179,246,378
"49",296,159,199,358,196,235,374
"50",263,157,220,350,177,241,389
"51",286,166,194,340,158,246,367
"52",270,148,211,344,173,382,363
"53",281,163,200,335,175,227,362
"54",261,158,188,342,203,238,379
"55",268,147,199,355,183,243,377
"56",289,151,201,336,164,244,358
"57",273,151,194,321,174,239,367
"58",283,149,194,356,174,309,361
"59",297,153,190,343,167,228,349
"60",290,149,203,364,188,241,385
"61",278,144,180,377,190,242,374
"62",286,161,198,344,193,242,378
"63",284,160,189,335,166,246,384
"64",323,167,189,354,182,234,383
"65",313,149,206,359,189,267,365
"66",266,141,207,344,183,217,375
"67",297,352,195,349,176,238,395
"68",280,151,199,349,178,207,369
"69",261,139,186,348,182,238,387
"70",282,166,188,346,172,231,389
"71",252,158,195,338,172,247,385
"72",285,150,193,378,626,236,393
"73",282,159,200,359,184,263,366
"74",289,146,203,355,220,229,372
"75",269,135,186,336,185,224,357
"76",280,140,192,362,177,227,369
"77",287,161,203,354,188,229,385
"78",335,145,191,355,189,222,364
"79",278,158,202,355,163,226,378
"80",294,159,191,364,183,241,376
"81",355,171,190,380,189,240,380
"82",270,167,195,351,174,229,376
"83",285,150,209,336,162,245,375
"84",271,143,206,342,200,271,371
"85",318,145,222,372,217,244,380
"86",282,162,214,358,188,233,367
"87",269,141,191,353,171,225,351
"88",300,144,207,362,192,217,379
"89",277,164,195,375,195,244,379
"90",289,163,202,336,173,243,369
"91",278,155,189,321,179,226,991
"92",328,127,187,351,184,200,373
"93",313,137,196,338,177,214,363
"94",278,135,194,356,198,243,375
"95",794,139,209,353,176,231,382
"96",303,164,208,373,179,232,370
"97",292,180,208,346,178,251,393
"98",294,147,190,364,183,242,381
"99",267,135,183,356,162,226,370
"100",257,157,197,342,196,220,356
"101",275,151,203,335,194,237,357
"102",276,143,192,363,181,202,366
"103",284,138,196,360,190,347,376
"104",263,154,199,359,187,230,367
"105",269,151,208,345,187,220,361
"106",510,158,199,366,186,234,363
"107",275,162,194,353,169,204,372
"108",292,146,202,347,199,310,371
"109",275,155,215,344,178,232,376
"110",339,154,192,343,173,237,381
"111",263,140,184,356,173,217,365
"112",285,155,196,321,181,213,625
"113",308,138,184,338,186,228,368
"114",286,152,193,381,190,221,368
"115",301,149,205,337,188,226,355
"116",280,2801,207,361,193,229,396
"117",330,150,203,386,193,238,373
"118",287,168,194,347,186,230,370
"119",285,151,202,335,190,231,376
"120",293,168,193,346,169,238,367
"121",279,159,197,346,194,208,382
"122",297,158,207,356,160,232,373
"123",300,135,187,363,182,238,371
"124",282,141,174,341,173,229,373
"125",924,178,216,348,179,236,374
"126",265,145,178,343,175,218,365
"127",273,137,191,361,170,213,372
"128",297,168,186,356,188,225,374
"129",286,168,199,353,161,229,367
"130",266,136,180,362,187,202,363
"131",290,155,204,334,190,239,373
"132",268,144,205,358,198,237,1633
"133",302,193,196,355,175,228,366
"134",292,147,213,360,279,223,382
"135",297,167,207,353,181,239,380
"136",303,161,198,346,165,233,366
"137",307,156,212,361,198,233,373
"138",286,149,199,379,201,216,363
"139",325,155,213,350,172,233,362
"140",293,157,196,334,201,242,368
"141",328,163,197,365,178,269,369
"142",324,184,192,361,193,219,382
"143",304,166,199,350,175,260,384
"144",308,148,196,357,216,218,372
"145",296,167,188,338,172,232,374
"146",294,158,188,368,190,231,380
"147",304,170,216,351,187,249,369
"148",282,150,191,344,180,230,366
"149",314,171,197,343,174,233,375
"150",295,160,193,353,183,235,376
"151",274,150,201,336,196,228,365
"152",330,159,207,365,201,248,377
"153",293,161,193,344,179,229,384
"154",325,154,198,371,185,229,383
"155",283,164,204,348,183,248,373
"156",1256,169,198,359,179,244,370
"157",283,164,188,352,163,241,375
"158",253,146,185,351,513,228,356
"159",266,152,199,352,214,223,373
"160",264,160,197,333,160,232,372
"161",279,168,189,335,168,235,378
"162",262,159,196,370,184,223,385
"163",281,146,197,359,186,238,385
"164",300,165,195,354,170,228,365
"165",284,171,208,338,200,260,371
"166",279,165,193,359,210,228,384
"167",288,166,202,366,201,253,368
"168",982,155,211,356,187,476,398
"169",293,137,187,368,264,217,357
"170",279,172,230,351,183,262,368
"171",289,140,188,336,195,312,360
"172",323,176,221,353,201,251,378
"173",276,139,183,359,181,231,370
"174",264,150,200,371,173,222,376
"175",285,141,212,346,205,229,365
"176",282,141,196,372,184,238,377
"177",306,143,202,346,180,205,365
"178",255,158,201,340,167,237,352
"179",290,159,192,338,172,238,376
"180",288,166,211,340,219,240,383
"181",315,157,190,373,179,248,382
"182",250,148,207,368,185,247,354
"183",294,140,201,334,202,230,369
"184",299,152,200,386,194,244,368
"185",338,168,195,336,177,233,374
"186",311,156,203,377,191,236,374
"187",337,165,225,344,203,244,377
"188",280,147,187,359,160,215,358
"189",335,168,219,345,196,274,372
"190",321,152,194,357,205,233,369
"191",279,162,187,341,183,237,388
"192",269,141,199,339,209,227,354
"193",286,129,185,341,196,217,357
"194",269,148,189,324,159,233,364
"195",293,147,190,357,158,220,371
"196",313,147,202,375,192,244,388
"197",271,170,197,358,165,235,366
"198",308,172,197,344,195,229,395
"199",292,151,194,335,191,237,361
"200",304,158,208,346,182,229,359
"201",280,157,193,338,180,237,349
"202",649,170,191,343,198,242,419
"203",307,166,199,355,209,243,380
"204",272,131,200,368,168,221,350
"205",275,149,197,354,176,244,362
"206",271,142,199,365,187,240,347
"207",298,134,201,355,183,232,769
"208",298,163,215,350,183,234,376
"209",293,153,196,352,175,239,368
"210",271,148,205,333,198,220,361
"211",282,141,198,361,183,212,365
"212",268,153,561,332,180,227,365
"213",403,158,187,334,216,228,369
"214",320,162,200,346,172,245,369
"215",381,161,200,346,195,226,393
"216",276,162,204,377,182,243,392
"217",297,146,196,365,196,249,383
"218",292,141,215,343,191,217,360
"219",272,147,215,354,201,250,365
"220",303,143,193,354,175,228,374
"221",338,169,217,363,204,245,397
"222",312,156,199,337,176,240,365
"223",319,143,191,333,175,220,365
"224",289,161,191,353,201,251,363
"225",310,141,210,379,177,243,362
"226",282,150,218,372,206,227,375
"227",325,168,191,346,169,229,364
"228",318,147,196,362,191,246,382
"229",273,173,228,375,185,252,392
"230",290,165,193,346,1048,214,373
"231",281,162,189,353,151,243,377
"232",298,209,208,335,202,263,549
"233",281,145,203,364,199,223,370
"234",316,140,185,350,182,239,382
"235",281,139,189,362,174,208,781
"236",278,159,178,334,175,232,366
"237",298,155,203,373,199,228,380
"238",296,129,186,352,179,206,364
"239",290,136,195,350,187,216,369
"240",275,154,195,349,179,221,349
"241",282,159,192,366,177,243,366
"242",284,148,204,322,171,238,369
"243",274,176,191,361,262,234,377
"244",274,148,208,351,197,220,381
"245",289,168,208,322,213,323,393
"246",296,170,200,360,189,239,366
"247",293,166,188,338,164,671,371
"248",267,131,189,343,182,233,355
"249",268,145,194,327,188,237,345
"250",266,148,189,325,175,225,354
"251",288,156,204,338,195,238,374
"252",286,155,215,360,183,244,378
"253",298,172,216,335,198,258,374
"254",325,176,201,354,200,233,369
"255",328,133,189,345,178,240,366
"256",275,161,210,349,167,236,358
"257",315,155,197,365,184,231,377
