"","Chennai Super Kings","Delhi Capitals","Kings XI Punjab","Kolkata Knight Riders","Mumbai Indians","Rajasthan Royals","Royal Challengers Bangalore"
"1",275,148,190,361,165,202,370
"2",330,156,205,372,191,254,393
"3",282,158,201,367,198,424,377
"4",284,158,187,340,185,233,352
"5",265,146,203,377,212,246,391
"6",277,146,186,360,171,208,412
"7",274,138,184,338,185,218,364
"8",270,136,177,335,179,206,355
"9",289,169,201,357,187,249,359
"10",303,150,196,344,178,239,364
"11",287,154,200,336,187,235,371
"12",293,179,206,356,181,261,374
"13",315,169,223,367,180,248,371
"14",291,139,202,364,195,240,364
"15",267,151,211,316,174,235,363
"16",293,171,193,363,196,239,371
"17",278,144,200,345,185,234,367
"18",736,149,205,350,177,236,365
"19",284,161,192,348,166,249,356
"20",281,155,195,343,176,255,373
"21",300,164,198,346,166,242,373
"22",290,148,190,361,213,225,377
"23",324,165,198,351,183,234,375
"24",269,173,217,352,184,239,369
"25",282,158,191,406,188,247,372
"26",301,168,201,341,175,247,364
"27",293,164,191,360,168,234,366
"28",260,137,191,330,179,232,363
"29",289,154,199,390,188,235,374
"30",273,131,173,349,165,211,379
"31",324,166,203,359,173,246,380
"32",335,159,198,354,176,225,396
"33",285,152,192,365,187,238,383
"34",316,175,213,352,204,230,389
"35",271,154,208,323,170,219,1164
"36",352,166,235,365,199,255,377
"37",297,170,199,342,171,225,367
"38",273,146,201,320,198,227,355
"39",294,140,178,359,164,227,362
"40",294,168,199,350,179,223,378
"41",284,152,217,359,199,228,356
"42",297,163,205,350,191,249,392
"43",326,164,210,348,188,241,397
"44",264,132,182,339,165,217,363
"45",279,147,208,351,192,225,380
"46",280,165,208,336,180,247,369
"47",279,153,204,385,187,244,381
"48",307,160,191,352,161,231,382
"49",1975,136,194,367,169,223,400
"50",400,142,193,356,186,250,364
"51",285,152,194,337,168,226,378
"52",266,161,205,324,175,223,354
"53",309,192,199,333,166,245,370
"54",294,143,214,371,181,251,379
"55",317,153,198,343,200,242,980
"56",284,170,197,341,171,236,374
"57",284,162,196,338,180,245,370
"58",272,155,203,371,171,234,390
"59",318,170,190,363,177,249,362
"60",265,164,209,347,178,218,378
"61",313,145,212,350,187,229,358
"62",308,151,196,365,195,236,395
"63",307,165,191,342,162,246,372
"64",289,171,202,364,187,249,367
"65",295,155,194,336,165,230,359
"66",273,146,220,352,181,211,375
"67",313,143,181,358,161,203,358
"68",273,139,190,342,166,225,372
"69",401,161,206,364,188,235,372
"70",280,143,192,341,479,226,358
"71",312,159,191,345,157,251,367
"72",327,150,199,346,177,220,362
"73",262,155,210,356,188,241,364
"74",260,163,195,359,169,257,389
"75",603,174,195,371,187,255,365
"76",272,163,203,345,188,247,385
"77",314,178,198,373,198,244,384
"78",294,169,229,348,198,266,396
"79",265,149,206,360,179,235,389
"80",258,148,194,326,172,246,373
"81",272,152,192,321,160,207,376
"82",266,145,204,341,184,233,346
"83",303,156,197,360,166,386,376
"84",276,152,221,333,178,235,353
"85",283,168,216,338,288,232,380
"86",290,149,193,373,178,242,366
"87",304,169,202,356,177,259,364
"88",331,221,233,361,189,237,375
"89",329,164,211,367,179,257,378
"90",270,144,203,344,189,216,362
"91",275,150,202,330,173,225,360
"92",271,140,220,378,185,224,368
"93",284,151,220,350,215,213,381
"94",282,155,200,335,169,225,366
"95",265,133,215,357,211,240,371
"96",290,146,184,341,187,227,369
"97",299,160,202,373,205,230,382
"98",350,156,206,362,180,220,372
"99",292,160,201,349,162,245,379
"100",300,143,181,340,198,222,376
"101",300,149,210,316,195,233,374
"102",262,154,209,369,198,222,363
"103",269,137,188,337,179,226,340
"104",299,157,220,355,189,264,389
"105",284,135,181,356,189,229,480
"106",288,142,216,359,190,251,377
"107",273,144,178,353,177,222,358
"108",312,166,196,338,187,270,363
"109",279,158,228,335,164,236,372
"110",296,147,202,365,172,247,378
"111",267,150,194,343,186,207,370
"112",276,158,194,341,245,254,351
"113",284,159,194,375,195,238,387
"114",287,139,200,367,173,218,351
"115",265,154,176,337,179,269,363
"116",278,144,191,351,172,234,353
"117",298,165,220,356,255,235,385
"118",284,142,212,339,180,227,381
"119",319,170,222,369,212,250,389
"120",318,142,188,341,184,213,385
"121",283,158,210,338,188,247,393
"122",300,162,192,340,177,221,365
"123",281,140,183,342,173,213,365
"124",296,170,209,359,189,255,396
"125",290,288,187,334,176,263,376
"126",279,161,207,366,205,226,383
"127",281,136,191,323,182,209,372
"128",341,160,191,347,172,266,387
"129",264,141,202,342,169,226,361
"130",340,169,221,349,183,270,392
"131",272,152,196,342,158,236,367
"132",303,166,235,351,189,242,379
"133",285,156,198,366,188,241,383
"134",304,142,201,377,192,225,386
"135",274,149,197,361,210,211,372
"136",290,150,202,369,194,237,364
"137",290,147,206,345,178,221,371
"138",398,173,233,334,189,249,375
"139",307,162,197,348,164,245,380
"140",309,171,211,356,191,250,384
"141",281,137,219,347,188,228,379
"142",313,158,197,340,174,220,362
"143",279,164,191,337,186,237,369
"144",320,170,215,368,195,244,375
"145",333,776,205,344,188,252,364
"146",298,165,194,342,159,239,353
"147",289,171,192,341,169,245,368
"148",315,146,191,338,197,228,369
"149",323,159,205,380,223,222,396
"150",290,187,223,365,189,221,367
"151",287,166,188,335,178,236,373
"152",293,448,312,355,195,244,385
"153",315,169,212,346,191,548,365
"154",289,158,206,335,170,461,367
"155",269,149,184,338,182,202,369
"156",502,155,207,373,193,224,376
"157",264,158,189,326,174,244,364
"158",324,140,214,354,178,223,359
"159",307,144,180,349,182,232,360
"160",287,171,214,352,179,234,377
"161",305,146,204,398,204,241,383
"162",320,146,205,333,249,219,355
"163",288,162,200,353,178,234,368
"164",334,140,197,340,205,224,373
"165",280,143,206,354,198,219,366
"166",304,150,188,353,178,223,354
"167",280,151,191,344,166,227,362
"168",284,166,204,330,164,212,390
"169",288,160,204,372,180,225,383
"170",291,153,203,334,175,234,346
"171",279,146,209,352,182,210,374
"172",264,137,187,359,201,250,358
"173",277,150,207,349,200,217,362
"174",282,153,203,352,189,229,381
"175",302,158,207,367,189,237,375
"176",315,172,216,343,180,242,382
"177",313,141,185,346,190,214,380
"178",292,143,203,357,173,225,724
"179",278,159,206,336,176,247,365
"180",289,149,186,344,176,231,370
"181",285,162,212,364,191,262,382
"182",282,164,195,347,160,234,376
"183",319,164,192,325,168,244,372
"184",273,155,198,361,182,281,373
"185",327,155,200,358,164,241,390
"186",328,167,222,355,188,244,381
"187",271,134,179,346,174,230,370
"188",296,204,231,344,205,234,378
"189",261,137,189,327,154,237,360
"190",324,153,208,358,191,243,382
"191",280,148,190,382,192,306,386
"192",274,166,204,347,199,243,388
"193",290,160,199,360,163,229,372
"194",540,161,198,327,170,230,375
"195",267,136,219,336,205,221,364
"196",283,174,218,356,189,229,376
"197",256,141,198,369,627,230,387
"198",327,166,214,339,188,253,1074
"199",285,163,199,358,175,342,379
"200",306,168,188,358,172,238,402
"201",281,157,199,358,223,251,389
"202",282,164,199,342,197,255,365
"203",303,174,216,354,188,242,377
"204",281,167,218,348,181,264,379
"205",323,167,217,370,195,238,382
"206",288,153,204,357,180,230,438
"207",295,155,195,347,180,249,375
"208",306,159,206,347,210,224,382
"209",313,144,217,361,445,230,386
"210",275,140,176,357,178,228,346
"211",288,151,200,352,169,242,369
"212",493,170,220,353,197,241,364
"213",267,144,200,356,165,225,379
"214",271,162,208,349,191,244,363
"215",284,158,209,351,204,249,393
"216",277,160,185,355,183,254,396
"217",310,148,186,350,178,638,360
"218",318,173,203,373,210,219,403
"219",369,149,209,313,168,228,366
"220",278,146,196,367,206,253,369
"221",261,150,186,327,186,243,373
"222",274,167,206,336,185,249,362
"223",291,666,206,361,185,209,361
"224",296,362,208,379,208,230,377
"225",329,863,187,357,194,217,350
"226",302,159,201,360,180,241,370
"227",279,169,206,350,197,281,376
"228",322,157,203,385,193,227,370
"229",303,157,196,355,180,217,359
"230",317,167,217,336,198,243,383
"231",277,146,184,349,165,217,353
"232",305,165,205,357,197,241,377
"233",283,152,213,357,192,239,358
"234",283,150,177,350,210,231,376
"235",542,165,204,360,192,254,383
"236",294,155,199,339,183,236,364
"237",337,173,217,362,177,254,387
"238",312,182,197,346,187,232,383
"239",291,169,187,340,162,251,365
"240",270,147,213,363,190,242,355
"241",319,154,190,346,178,223,379
"242",310,139,193,362,166,447,376
"243",306,169,212,329,192,254,366
"244",279,162,211,345,193,257,370
"245",267,151,200,347,193,236,369
"246",298,167,205,352,176,232,377
"247",296,175,220,368,191,897,386
"248",286,167,191,347,169,234,369
"249",298,170,203,344,187,253,381
"250",321,148,217,362,203,244,381
"251",306,155,202,327,182,227,358
"252",299,145,204,370,235,249,376
"253",295,167,196,363,187,244,357
"254",287,137,191,361,169,233,359
"255",300,165,215,376,190,243,376
"256",322,165,220,353,171,260,363
"257",332,163,194,370,163,234,394
"258",480,155,193,334,165,223,354
"259",256,290,204,329,174,214,365
"260",292,161,199,371,180,256,995
"261",306,165,203,378,187,247,375
"262",290,148,196,345,177,208,379
"263",435,150,198,336,173,237,371
"264",302,162,194,341,186,225,375
"265",280,156,203,387,170,217,412
"266",270,151,206,333,196,235,364
"267",307,145,212,380,184,229,360
"268",2277,158,188,351,172,237,372
"269",300,157,181,332,182,249,368
"270",314,138,177,348,166,221,365
"271",290,154,216,375,175,231,374
"272",326,150,205,360,210,231,359
"273",266,143,184,360,186,216,363
"274",269,161,193,345,174,200,358
"275",296,159,190,351,187,222,356
"276",310,173,208,355,182,257,380
"277",314,174,199,346,177,239,376
"278",286,140,223,364,205,534,366
"279",296,151,201,376,182,243,379
"280",279,145,211,376,199,225,376
"281",279,169,191,343,153,234,370
"282",296,176,218,360,207,252,367
"283",303,167,209,351,156,225,361
