"","Chennai Super Kings","Delhi Capitals","Kings XI Punjab","Kolkata Knight Riders","Mumbai Indians","Rajasthan Royals","Royal Challengers Bangalore"
"1",311,131,189,372,185,224,370
"2",273,146,202,322,178,231,360
"3",312,143,227,357,187,240,365
"4",289,166,208,345,207,237,380
"5",541,146,175,340,160,217,342
"6",314,162,188,356,176,245,480
"7",350,169,199,350,167,256,361
"8",280,140,197,348,181,230,362
"9",284,148,208,344,191,342,367
"10",301,138,206,329,197,217,384
"11",258,172,190,347,178,243,373
"12",290,163,196,334,172,230,612
"13",307,155,190,338,187,237,344
"14",279,161,198,335,167,235,383
"15",305,171,219,363,191,240,370
"16",317,156,194,379,195,230,374
"17",309,151,194,327,187,246,363
"18",265,273,188,349,168,291,367
"19",328,166,219,368,192,255,371
"20",291,143,209,361,190,218,383
"21",279,164,203,367,186,232,365
"22",369,163,186,340,154,227,374
"23",298,169,202,343,177,1828,381
"24",285,154,191,323,176,232,358
"25",319,152,208,362,205,239,372
"26",289,158,198,370,179,235,1092
"27",551,157,198,383,176,225,382
"28",362,154,196,354,214,217,371
"29",276,161,207,353,175,225,363
"30",304,168,214,357,201,234,373
"31",276,157,215,329,211,237,570
"32",296,156,204,361,184,226,398
"33",270,160,179,333,191,215,363
"34",291,174,213,352,205,259,386
"35",270,142,202,352,164,225,369
"36",273,137,209,333,173,212,373
"37",297,181,207,376,202,231,372
"38",283,138,179,369,164,218,377
"39",328,142,202,360,196,239,1681
"40",282,170,200,340,191,242,368
"41",302,910,191,378,216,243,371
"42",263,146,186,363,155,203,367
"43",441,163,205,364,198,267,382
"44",297,160,205,371,186,242,388
"45",277,159,202,328,165,218,354
"46",278,168,195,362,164,258,370
"47",282,166,219,353,188,226,376
"48",275,139,172,357,177,229,361
"49",278,144,212,374,205,236,370
"50",259,163,195,321,186,236,367
"51",298,143,206,343,190,243,381
"52",311,172,215,363,191,415,381
"53",286,157,195,338,163,244,376
"54",287,154,196,332,180,245,345
"55",320,177,206,368,205,242,365
"56",292,156,199,374,177,227,392
"57",272,163,208,367,180,235,369
"58",309,147,208,364,178,223,373
"59",285,152,194,346,203,235,359
"60",297,167,227,336,205,252,383
"61",313,162,186,364,184,333,395
"62",290,165,198,352,206,233,377
"63",796,161,210,351,180,251,386
"64",302,146,190,353,174,223,360
"65",288,142,207,342,171,250,380
"66",301,153,194,339,173,233,380
"67",331,146,192,351,175,209,358
"68",310,163,198,350,178,221,381
"69",290,162,191,313,192,220,371
"70",306,142,222,350,196,235,364
"71",317,151,184,343,185,238,367
"72",285,142,181,353,181,231,363
"73",288,163,177,350,164,237,373
"74",290,165,195,358,183,226,388
"75",284,160,199,335,184,237,339
"76",308,151,198,364,182,250,379
"77",302,177,207,372,193,275,375
"78",283,163,214,342,176,244,381
"79",284,161,191,358,311,243,372
"80",277,160,207,344,195,245,374
"81",295,152,191,352,185,250,368
"82",301,175,222,337,186,251,370
"83",263,157,183,329,166,230,423
"84",268,146,208,367,188,228,367
"85",278,169,195,347,221,236,351
"86",270,165,212,331,215,242,385
"87",267,153,197,339,178,217,349
"88",270,144,220,358,201,220,363
"89",277,147,205,357,191,211,371
"90",284,167,183,356,185,276,375
"91",301,153,198,334,184,246,356
"92",273,149,182,354,177,227,360
"93",276,264,194,362,185,249,368
"94",303,167,216,346,190,259,381
"95",269,164,198,362,163,242,378
"96",395,173,208,335,203,262,389
"97",275,156,202,310,184,242,358
"98",290,183,194,338,175,221,362
"99",779,157,205,360,182,211,380
"100",281,233,182,355,187,240,376
"101",300,151,196,380,187,235,366
"102",272,145,216,370,186,232,368
"103",273,159,194,338,162,225,347
"104",269,150,193,367,182,212,351
"105",280,161,214,361,182,232,380
"106",268,143,190,364,169,216,349
"107",290,150,189,332,171,263,404
"108",329,155,201,343,198,220,360
"109",296,152,207,374,186,231,378
"110",305,145,215,371,186,245,380
"111",277,154,193,340,201,303,377
"112",302,1729,205,380,204,236,382
"113",586,136,189,356,183,227,356
"114",282,147,212,372,181,222,353
"115",281,167,215,345,182,248,369
"116",304,152,207,337,173,227,370
"117",312,145,188,339,182,229,369
"118",288,157,196,326,175,221,352
"119",309,160,176,357,205,196,382
"120",345,157,196,332,173,227,385
"121",288,147,192,347,187,209,367
"122",276,155,195,319,180,231,379
"123",323,147,196,344,176,216,376
"124",302,158,193,349,164,281,389
"125",329,142,220,353,186,223,379
"126",281,148,204,362,195,238,529
"127",267,156,168,331,160,211,372
"128",293,170,211,348,209,247,373
"129",270,161,186,355,162,241,374
"130",288,150,218,369,204,228,372
"131",523,154,188,358,198,232,377
"132",318,166,218,347,200,251,362
"133",301,154,204,343,189,222,353
"134",318,146,195,344,178,233,372
"135",273,152,207,332,152,240,364
"136",277,144,181,341,184,221,364
"137",318,169,201,391,204,254,387
"138",320,157,204,344,176,252,382
"139",319,172,221,354,195,248,403
"140",277,135,192,376,192,198,376
"141",264,156,194,339,478,238,370
"142",304,140,188,367,163,220,361
"143",278,153,207,344,202,246,371
"144",269,175,212,362,209,242,382
"145",294,131,174,342,167,453,344
"146",276,155,195,350,172,241,357
"147",293,161,183,347,164,231,366
"148",282,148,201,370,185,247,375
"149",272,164,205,340,167,220,365
"150",277,174,207,340,178,242,375
"151",320,167,183,348,160,243,394
"152",283,162,196,352,2024,241,376
"153",315,162,197,360,265,239,405
"154",293,169,210,346,181,247,379
"155",318,152,205,365,207,236,375
"156",290,149,205,349,188,236,366
"157",314,179,196,362,174,217,367
"158",336,166,220,355,213,255,385
"159",305,161,196,365,198,300,365
"160",277,157,201,319,177,237,369
