"","Chennai Super Kings","Delhi Capitals","Kings XI Punjab","Kolkata Knight Riders","Mumbai Indians","Rajasthan Royals","Royal Challengers Bangalore"
"1",267,164,215,372,198,227,383
"2",291,149,203,367,177,297,377
"3",268,137,192,319,174,217,361
"4",323,154,215,380,177,255,394
"5",297,150,213,335,187,228,383
"6",270,145,194,367,177,215,362
"7",273,158,182,346,162,224,363
"8",280,152,198,381,183,241,376
"9",265,153,185,323,195,233,372
"10",290,155,205,331,171,488,357
"11",275,152,201,365,195,224,388
"12",275,145,179,352,200,247,370
"13",280,145,198,328,174,227,365
"14",284,148,205,374,194,260,360
"15",309,155,206,359,201,233,369
"16",306,145,203,339,181,221,369
"17",270,158,194,359,159,224,362
"18",282,153,200,332,195,255,376
"19",290,136,184,359,182,262,361
"20",296,153,190,345,175,232,365
"21",283,157,217,372,209,252,373
"22",278,147,206,341,201,219,361
"23",259,147,201,333,174,234,364
"24",293,167,212,369,198,242,393
"25",255,150,188,354,160,220,364
"26",296,176,205,333,192,249,380
"27",275,143,184,341,167,210,368
"28",280,146,179,359,169,221,348
"29",289,135,195,351,189,225,371
"30",251,148,208,364,195,232,359
"31",291,154,194,357,199,221,364
"32",291,152,188,340,165,202,357
"33",313,160,192,344,166,254,383
"34",262,144,298,326,190,243,367
"35",304,170,207,364,181,241,379
"36",320,172,212,361,207,236,394
"37",266,161,195,345,163,236,380
"38",281,156,209,367,182,238,382
"39",318,163,228,337,203,242,382
"40",287,162,203,321,182,230,383
"41",716,152,208,375,193,245,398
"42",297,150,202,386,201,240,375
"43",294,160,214,368,173,230,381
"44",268,148,173,355,173,239,371
"45",268,145,185,346,173,223,360
"46",271,141,195,346,173,200,366
"47",279,165,216,354,196,262,371
"48",299,146,208,364,205,238,369
"49",293,147,189,368,192,557,367
"50",278,173,214,334,194,247,372
"51",327,136,178,359,192,230,355
"52",341,167,215,348,209,242,389
"53",325,166,212,333,207,264,378
"54",280,145,196,343,186,205,361
"55",306,156,199,381,184,223,394
"56",296,143,192,362,188,221,370
"57",302,141,211,353,173,226,355
"58",299,150,188,332,167,230,359
"59",279,168,220,355,180,275,385
"60",1679,158,186,371,171,465,360
"61",277,142,183,362,158,294,376
"62",286,133,193,346,167,244,382
"63",269,145,182,365,156,215,360
"64",262,143,179,353,160,209,369
"65",279,159,199,348,182,235,371
"66",287,154,195,325,188,217,370
"67",290,160,197,363,170,242,371
"68",264,167,211,343,169,224,367
"69",325,154,206,349,200,246,383
"70",284,164,211,347,183,246,372
"71",275,158,193,339,166,237,376
"72",286,147,187,334,194,208,371
"73",288,151,217,365,188,226,352
"74",297,166,199,360,174,244,365
"75",276,167,221,361,229,258,385
"76",286,155,186,355,194,230,358
"77",283,155,195,358,172,245,372
"78",275,150,208,359,214,218,366
"79",276,171,222,344,205,249,409
"80",295,159,208,367,175,236,383
"81",278,162,195,347,186,242,360
"82",275,174,214,342,188,247,381
"83",289,158,182,350,160,236,385
"84",275,150,191,337,181,222,362
"85",275,157,189,328,180,241,360
"86",328,172,221,339,202,259,411
"87",281,155,201,341,223,242,381
"88",292,158,186,334,190,244,372
"89",282,168,211,352,189,227,375
"90",326,166,189,337,178,234,375
"91",268,160,200,341,184,223,366
"92",280,156,208,363,184,523,390
"93",303,168,195,337,176,240,384
"94",352,205,197,345,183,223,369
"95",289,165,192,353,212,243,372
"96",327,151,199,350,200,230,372
"97",304,147,195,331,165,222,359
"98",314,154,210,360,179,231,380
"99",272,153,266,331,176,221,360
"100",295,180,194,343,155,236,366
"101",294,157,190,345,175,255,376
"102",324,163,210,366,668,272,397
"103",536,199,199,356,183,232,383
"104",272,161,201,347,163,231,391
"105",311,163,203,359,172,230,362
"106",306,147,203,343,199,237,363
"107",279,174,212,368,194,239,396
"108",454,132,190,343,168,221,379
"109",276,150,207,353,213,236,371
"110",304,147,202,370,201,229,393
"111",263,153,186,342,157,207,345
"112",270,139,174,344,167,225,483
"113",286,135,195,344,182,225,380
"114",281,137,188,360,200,238,366
"115",254,159,202,341,191,1024,366
"116",323,146,197,360,178,210,357
"117",317,130,176,356,167,217,370
"118",281,140,205,353,207,229,379
"119",337,156,206,379,310,232,376
"120",291,168,209,362,199,239,374
"121",329,155,194,378,190,251,388
"122",297,171,221,371,337,235,380
"123",289,152,206,336,185,225,365
"124",282,174,190,369,194,225,394
"125",294,159,181,353,164,237,360
"126",287,168,186,338,170,235,377
"127",288,161,190,355,175,230,362
"128",330,164,189,357,195,252,384
"129",317,165,228,362,190,240,383
"130",283,159,184,355,166,237,373
"131",290,160,192,327,172,247,354
"132",297,151,197,359,172,232,357
"133",308,160,214,359,185,229,387
"134",289,156,197,338,172,254,362
"135",274,132,194,340,174,404,369
"136",295,133,194,370,184,212,363
"137",282,147,190,345,163,223,376
"138",310,164,203,366,184,253,362
"139",294,174,203,325,195,256,389
"140",257,155,197,336,164,244,347
"141",286,170,209,354,192,247,383
"142",302,157,206,345,172,242,392
"143",309,154,204,316,165,248,350
"144",291,154,215,364,175,234,380
"145",329,168,204,357,187,245,384
"146",307,155,195,365,196,232,383
"147",326,167,215,358,192,261,377
"148",289,130,191,360,186,241,532
"149",303,148,184,357,171,223,359
"150",261,143,204,339,209,229,359
"151",320,155,191,352,173,255,353
"152",283,138,180,336,169,225,357
"153",308,157,201,345,172,724,458
"154",328,148,207,370,195,229,380
"155",276,151,183,333,162,236,372
"156",322,154,196,368,200,220,361
"157",328,156,193,332,171,237,353
"158",298,149,209,332,191,224,371
"159",264,133,178,358,180,227,383
"160",278,141,187,343,432,223,365
"161",299,170,221,351,189,241,380
"162",283,129,184,348,169,221,351
"163",277,155,197,367,206,257,385
"164",281,170,200,378,204,241,383
"165",314,154,195,334,508,244,373
"166",288,164,203,354,166,237,368
"167",299,166,217,371,197,237,372
"168",314,141,186,345,191,229,364
"169",264,138,205,370,190,234,553
"170",272,143,205,371,199,207,381
"171",311,157,192,340,179,245,378
"172",326,961,208,364,188,249,380
"173",301,171,207,357,163,226,366
"174",302,147,241,344,180,223,388
"175",473,132,191,378,195,226,369
"176",265,152,192,333,163,231,363
"177",257,154,194,332,166,236,352
"178",273,149,209,364,209,216,371
"179",295,167,191,350,184,230,372
"180",263,154,184,327,175,227,368
"181",303,168,197,368,305,248,388
"182",279,163,194,346,172,234,380
"183",278,150,196,337,181,235,351
"184",271,170,199,344,188,246,382
"185",300,167,198,372,176,235,387
"186",269,175,192,351,194,221,369
"187",303,168,215,348,192,266,387
"188",272,164,217,352,190,244,382
"189",285,160,197,358,161,223,378
"190",268,146,196,353,210,228,372
"191",282,152,207,372,183,252,384
"192",323,182,225,339,179,249,380
"193",308,153,201,362,192,253,372
"194",330,164,204,348,165,245,368
"195",319,151,194,368,189,255,389
"196",368,139,187,373,166,227,351
"197",380,166,192,329,179,244,390
"198",288,167,226,333,195,230,368
"199",268,173,222,360,202,261,479
"200",289,152,210,324,166,218,378
"201",300,153,186,347,175,229,362
