"","Chennai Super Kings","Delhi Capitals","Kings XI Punjab","Kolkata Knight Riders","Rajasthan Royals","Royal Challengers Bangalore","Sunrisers Hyderabad"
"1",229,233,214,279,258,341,240
"2",227,233,216,295,236,348,236
"3",235,247,220,292,229,348,258
"4",232,242,224,282,256,358,254
"5",219,227,186,264,227,327,207
"6",230,215,194,276,215,259,198
"7",230,238,228,307,255,356,248
"8",230,229,215,307,259,360,244
"9",229,204,203,272,219,239,187
"10",236,238,221,301,256,363,215
"11",195,223,182,267,220,332,213
"12",241,255,200,282,248,334,246
"13",204,224,191,274,234,336,201
"14",226,245,207,274,234,358,237
"15",220,261,230,299,256,345,250
"16",235,233,217,291,259,362,244
"17",216,245,188,261,215,324,218
"18",204,239,181,248,223,312,203
"19",234,243,221,305,265,357,253
"20",236,232,229,315,225,268,216
"21",261,224,214,288,234,276,222
"22",244,249,213,271,244,337,261
"23",229,241,206,305,260,348,238
"24",234,235,236,306,245,366,229
"25",242,253,218,267,238,356,252
"26",212,246,192,254,222,314,196
"27",230,224,220,301,227,301,230
"28",220,222,185,274,229,334,219
"29",249,231,231,321,223,278,214
"30",226,263,214,262,227,349,239
"31",233,244,213,296,242,367,236
"32",248,254,200,268,238,353,260
"33",197,227,193,267,226,319,217
"34",239,231,211,289,254,366,240
"35",211,244,213,265,221,354,248
"36",204,233,185,258,218,324,209
"37",226,230,209,288,245,351,233
"38",227,229,209,306,235,271,225
"39",218,247,214,275,239,343,240
"40",222,251,220,274,239,357,253
"41",254,238,215,317,228,290,224
"42",261,224,221,296,230,277,236
"43",212,213,204,279,210,241,195
"44",257,242,216,290,253,345,243
"45",235,245,221,293,271,344,238
"46",250,250,233,268,250,343,251
"47",243,235,224,308,225,293,241
"48",220,209,207,288,214,244,197
"49",214,234,190,248,230,320,197
"50",230,252,212,278,249,354,234
"51",250,228,225,304,217,284,217
"52",252,240,226,297,234,351,235
"53",223,251,214,292,261,373,251
"54",200,215,191,283,211,256,190
"55",244,227,218,310,223,282,227
"56",226,236,218,307,225,278,237
"57",221,243,210,296,230,368,231
"58",244,224,246,304,221,293,235
"59",222,248,206,276,226,352,235
"60",240,223,222,304,216,285,243
"61",250,243,212,294,235,287,226
"62",241,222,233,297,238,285,224
"63",238,252,201,262,244,370,238
"64",241,249,224,279,244,355,243
"65",259,216,224,285,217,279,233
"66",222,222,212,310,215,288,232
"67",244,246,219,275,246,342,241
"68",230,251,221,295,264,341,238
"69",228,246,217,266,225,361,249
"70",246,218,218,320,234,288,238
"71",234,237,220,308,246,281,230
"72",215,252,199,270,228,358,244
"73",216,261,216,263,245,344,236
"74",234,226,220,299,208,276,233
"75",222,234,209,283,245,366,243
"76",234,250,217,298,258,364,240
"77",244,219,208,285,229,288,216
"78",234,248,221,310,257,364,247
"79",236,242,213,313,256,371,242
"80",187,219,187,283,241,339,203
"81",218,253,202,291,232,359,246
"82",250,228,228,320,223,284,230
"83",230,225,237,305,245,275,223
"84",230,240,221,270,247,348,247
"85",230,242,214,298,250,347,238
"86",242,245,212,299,231,363,231
"87",220,213,198,274,212,257,194
"88",229,232,202,295,221,282,226
"89",209,223,183,264,223,327,206
"90",239,240,215,303,256,382,251
"91",253,231,222,289,225,280,240
"92",192,236,184,252,220,318,212
"93",226,246,203,273,224,352,224
"94",235,241,207,299,255,357,254
"95",235,259,218,274,240,348,249
"96",185,229,177,252,241,331,205
"97",214,231,212,292,238,359,243
"98",266,252,202,267,241,362,236
"99",239,225,233,295,215,292,239
"100",217,214,194,285,209,253,194
"101",237,254,223,289,261,348,233
"102",224,236,198,288,239,360,232
"103",236,240,209,285,253,345,245
"104",196,219,195,275,240,323,209
"105",240,231,213,300,248,266,230
"106",237,243,208,274,245,354,255
"107",253,217,214,306,221,278,225
"108",235,249,211,271,245,340,234
"109",252,221,227,297,240,283,231
"110",230,224,220,294,213,283,222
"111",228,227,198,312,223,273,225
"112",239,247,213,267,242,357,255
"113",219,204,200,277,211,251,194
"114",224,233,225,279,238,367,243
"115",242,223,222,309,221,283,237
"116",212,226,171,287,231,347,214
"117",224,235,224,311,244,355,243
"118",225,208,198,282,203,260,191
"119",226,253,218,276,240,344,230
"120",259,229,235,308,222,271,224
"121",217,206,193,282,209,260,190
"122",228,245,220,299,253,359,242
"123",234,226,232,281,209,284,223
"124",229,248,211,273,241,346,254
"125",240,238,202,274,247,352,240
"126",225,226,185,277,242,338,205
"127",227,236,202,276,223,354,236
"128",237,232,224,292,259,360,238
"129",207,223,207,279,232,320,204
"130",255,218,217,300,221,290,240
"131",224,243,226,305,248,354,232
"132",238,255,216,256,242,345,228
"133",249,230,228,298,230,279,219
"134",242,263,213,266,249,352,250
"135",232,241,227,300,239,367,255
"136",198,223,196,268,224,337,217
"137",182,226,186,266,226,327,208
"138",222,240,218,277,226,366,250
"139",235,244,207,265,222,365,245
"140",216,224,192,271,220,329,209
"141",227,245,210,277,231,354,233
"142",236,247,213,299,248,367,244
"143",195,241,195,242,218,298,202
"144",218,238,206,307,242,348,241
"145",250,223,212,305,212,277,220
"146",223,246,217,299,253,360,247
"147",220,250,198,279,234,349,248
"148",234,247,203,280,235,354,229
"149",238,252,212,285,244,334,236
"150",222,228,228,304,219,263,221
"151",213,238,174,256,231,324,215
"152",232,249,226,290,244,344,255
"153",221,259,203,269,245,342,238
"154",231,252,207,269,253,350,239
"155",203,240,207,302,236,353,240
"156",223,224,192,266,226,323,206
"157",244,240,203,293,264,339,230
"158",231,234,212,300,246,359,247
"159",229,258,225,292,248,368,244
"160",217,204,193,291,206,260,204
"161",229,236,212,312,215,276,238
"162",212,214,191,295,197,252,187
"163",233,230,231,307,244,287,232
"164",224,235,210,298,231,364,236
"165",233,243,230,289,238,356,240
"166",240,247,216,309,259,357,240
"167",244,234,208,284,255,368,241
"168",242,244,208,289,237,361,246
"169",236,235,222,298,222,290,224
"170",248,238,226,306,225,285,225
"171",221,241,206,291,260,353,229
"172",234,226,217,298,213,276,231
"173",216,230,213,289,241,371,240
"174",211,234,189,248,226,317,221
"175",240,241,219,266,254,346,234
"176",231,227,219,306,218,290,226
"177",240,215,226,317,216,266,239
"178",232,224,222,311,211,274,229
"179",246,229,210,311,215,270,215
"180",215,230,184,273,227,340,196
"181",212,225,187,271,237,330,225
"182",234,241,215,291,246,352,242
"183",234,231,228,305,234,279,240
"184",242,247,209,260,247,354,246
"185",233,249,207,256,239,354,256
"186",230,208,194,277,224,263,185
"187",212,243,214,312,255,353,268
"188",211,218,190,285,214,259,199
"189",250,225,220,295,222,288,224
"190",236,227,225,300,227,286,227
"191",241,237,227,286,252,362,240
"192",252,215,224,283,222,261,230
"193",248,232,213,305,262,341,251
"194",230,232,229,293,231,287,217
"195",237,225,210,314,221,278,229
"196",200,233,192,262,230,341,218
"197",212,232,203,286,220,364,258
"198",210,208,187,277,195,250,191
"199",236,240,212,292,258,349,239
"200",210,229,185,255,232,330,209
"201",221,228,211,300,225,371,239
"202",234,236,231,312,225,289,236
"203",229,239,207,301,224,348,253
"204",196,241,186,252,219,314,210
"205",231,229,208,309,247,376,238
"206",196,239,182,246,233,316,207
"207",238,228,215,300,208,267,225
"208",206,208,190,271,193,246,189
"209",245,245,213,265,248,336,247
"210",250,247,220,273,244,333,241
"211",217,214,192,273,208,253,189
"212",236,234,211,293,244,353,238
"213",187,226,187,251,230,319,200
"214",242,210,190,277,214,251,190
"215",241,242,205,289,244,352,230
"216",225,207,196,283,212,251,189
"217",244,229,207,291,215,269,215
"218",210,206,199,287,190,276,194
"219",245,238,227,304,219,278,233
"220",209,239,182,247,227,308,212
"221",216,242,193,274,228,370,242
"222",225,253,224,260,246,348,247
"223",243,247,210,274,219,361,233
"224",207,238,185,251,224,324,230
"225",221,238,206,295,243,371,232
"226",234,221,216,292,202,288,232
"227",252,240,223,301,255,345,243
"228",237,231,219,311,241,282,220
"229",243,229,225,303,257,353,242
"230",192,223,194,278,233,337,212
"231",225,242,229,253,248,358,248
"232",264,237,214,269,232,346,245
"233",227,250,199,272,250,357,258
"234",236,254,205,257,241,355,244
"235",231,241,209,277,237,351,246
"236",213,233,192,273,220,334,210
"237",204,224,189,281,232,338,217
"238",237,219,189,269,234,331,198
"239",225,223,219,283,206,288,223
"240",228,248,202,271,233,353,244
"241",245,239,218,285,244,357,232
"242",222,238,210,291,231,368,250
"243",207,252,223,267,227,337,221
"244",234,242,232,293,263,348,245
"245",223,256,195,263,218,354,242
"246",246,261,208,265,258,360,257
"247",223,239,218,307,247,362,248
"248",243,217,225,314,227,286,232
"249",198,225,193,273,238,326,206
"250",221,229,208,306,225,363,238
"251",236,228,231,300,225,267,228
"252",244,227,212,287,234,272,232
"253",234,247,219,303,258,379,244
"254",246,231,212,294,234,285,233
"255",248,251,224,308,240,351,245
"256",215,226,199,259,229,333,205
"257",240,236,208,288,261,367,234
"258",236,221,218,304,212,285,218
"259",224,224,190,266,224,326,205
"260",219,224,223,291,208,286,209
"261",238,235,220,296,250,362,238
"262",243,226,239,296,225,280,235
"263",250,224,226,300,207,270,225
"264",221,243,217,266,254,347,247
"265",253,253,211,275,235,351,246
"266",206,219,187,270,233,327,206
"267",218,232,191,266,238,336,217
"268",210,244,175,247,224,347,197
"269",194,236,178,253,226,311,204
"270",196,230,186,271,229,339,206
"271",240,256,214,288,245,351,246
"272",236,257,220,290,246,363,239
"273",230,244,198,296,261,333,245
"274",215,219,195,266,225,327,204
"275",236,266,212,276,243,340,263
"276",253,223,215,299,231,276,223
"277",226,253,213,264,237,353,230
"278",223,233,216,300,266,346,241
"279",215,238,178,238,214,316,209
"280",233,229,227,308,233,287,244
"281",219,236,218,286,226,352,236
"282",247,227,219,314,227,292,252
"283",230,222,216,299,217,280,231
"284",199,219,186,273,226,333,223
"285",230,221,212,288,205,270,223
"286",249,232,218,291,229,279,239
"287",205,232,198,253,234,334,216
"288",266,239,220,296,238,273,236
"289",257,220,231,300,243,282,231
"290",210,225,182,274,224,327,208
"291",218,216,191,288,204,252,189
"292",230,227,187,276,229,319,198
"293",230,236,225,314,219,276,229
"294",223,239,213,273,233,359,257
"295",245,229,209,293,215,277,236
"296",213,234,208,291,247,354,231
"297",203,230,187,249,218,342,208
"298",220,224,193,265,237,325,196
"299",240,252,213,291,263,349,241
"300",200,235,181,274,234,315,216
"301",234,237,214,270,238,340,242
"302",243,254,208,281,241,332,243
"303",222,238,211,276,257,356,248
"304",224,250,219,274,210,350,245
"305",225,234,216,305,253,349,249
"306",258,221,215,307,235,278,226
"307",207,241,184,248,223,323,209
"308",215,246,209,270,255,370,253
