"","v Afghanistan","v Australia","v Bangladesh","v England","v Hong Kong","v Ireland","v Kenya","v Netherlands","v New Zealand","v Pakistan","v South Africa","v Sri Lanka","v U.A.E.","v West Indies","v Zimbabwe"
"94",72,53,66,60,60,75,41,2,54,57,49,56,16,64,44
"95",86,50,86,46,66,67,52,12,52,41,62,66,39,86,55
"96",65,65,79,43,61,79,50,8,58,46,80,69,23,70,43
"97",63,63,78,39,56,80,55,28,60,46,62,61,25,61,58
"98",61,56,78,50,51,84,51,14,63,39,63,48,19,85,49
"99",68,51,64,50,55,60,57,3,55,56,54,63,21,70,61
"100",58,50,83,42,61,76,48,9,43,41,57,59,22,65,47
"101",70,50,70,44,61,69,58,12,47,54,70,47,34,70,51
"102",81,61,73,65,47,88,54,11,51,36,68,61,37,75,62
"103",66,54,70,39,54,83,55,11,52,25,67,56,24,60,51
"104",73,53,78,47,49,68,57,16,49,50,63,57,44,72,48
"105",98,64,72,39,56,79,51,32,61,61,58,63,41,70,58
"106",55,48,81,44,56,71,54,4,57,48,65,68,29,64,51
"107",55,54,68,55,56,76,50,15,56,49,70,51,30,74,53
"108",74,71,80,43,61,59,57,6,52,43,72,74,30,66,52
"109",70,57,77,44,61,76,57,13,69,47,69,66,36,68,48
"110",75,64,74,40,62,73,57,16,72,50,67,63,43,72,53
"111",61,63,76,38,65,82,50,7,73,57,57,65,33,58,49
"112",72,58,72,62,58,73,62,11,62,40,65,69,29,71,48
"113",80,54,69,40,52,78,58,15,64,34,80,61,29,65,44
"114",60,60,72,43,51,74,53,13,68,69,61,59,17,63,45
"115",75,48,72,41,57,80,58,7,73,35,84,71,26,78,44
"116",82,45,81,45,65,77,56,6,62,37,68,68,22,82,47
"117",66,62,82,60,51,82,54,19,61,36,61,57,19,79,42
"118",61,59,81,45,60,91,55,13,59,53,66,55,34,79,49
"119",68,48,85,45,48,87,63,3,63,50,76,57,44,78,56
"120",67,60,73,45,60,84,64,20,59,48,89,73,33,70,49
"121",67,54,81,51,47,77,56,9,60,40,83,60,40,64,49
"122",86,65,84,42,50,64,49,39,57,52,73,61,31,84,54
"123",66,52,79,39,47,80,53,4,57,50,68,58,37,69,56
"124",56,52,74,52,50,97,54,4,63,43,52,66,49,65,52
"125",68,65,74,41,56,71,56,8,49,47,63,52,31,64,52
"126",66,55,74,57,54,77,60,8,66,48,59,66,29,83,52
"127",61,55,73,49,53,103,69,6,51,43,67,56,24,69,46
"128",60,56,79,40,50,80,55,4,56,56,61,61,25,67,45
"129",70,51,67,38,63,70,61,41,49,44,78,43,14,71,52
"130",84,54,80,53,52,67,54,18,56,71,60,53,24,72,47
"131",74,50,77,47,65,72,55,16,58,62,67,60,48,76,52
"132",60,45,84,50,58,77,56,23,52,68,62,70,42,57,60
"133",62,53,73,43,56,80,69,20,67,50,71,62,22,72,63
"134",70,67,78,50,44,69,52,21,66,47,57,66,37,77,54
"135",83,55,68,53,68,83,58,12,61,34,58,63,26,85,50
"136",73,57,83,35,60,73,54,13,64,58,74,62,23,73,46
"137",57,56,72,39,61,76,66,24,55,57,57,48,29,72,45
"138",66,50,77,59,63,75,60,5,57,44,66,57,28,76,49
"139",68,55,75,56,62,71,56,11,63,53,49,53,49,77,50
"140",87,61,74,39,50,78,54,12,50,42,60,63,21,79,53
"141",59,55,65,44,57,75,53,8,57,49,53,60,36,86,50
"142",72,72,72,46,51,102,51,20,46,54,81,61,43,83,59
"143",65,55,79,43,54,81,53,11,62,46,53,57,24,61,46
"144",63,64,75,53,57,87,49,7,47,45,69,59,52,60,54
"145",66,48,75,48,63,71,56,14,55,31,79,62,18,76,47
"146",78,50,86,37,53,69,49,18,64,36,60,53,48,73,55
"147",67,50,80,52,60,81,52,14,54,54,59,48,27,71,44
"148",58,57,84,40,61,83,57,17,50,54,58,74,27,86,43
"149",55,62,70,46,61,73,57,18,63,37,60,58,38,69,50
"150",66,57,76,43,61,76,51,8,64,44,68,72,48,78,49
"151",72,50,79,45,67,68,55,16,54,57,64,63,34,73,58
"152",85,50,80,39,62,80,56,10,59,61,65,70,46,75,44
"153",55,61,84,51,53,78,57,8,65,39,70,46,42,80,48
"154",64,52,73,49,60,61,62,9,49,46,66,64,25,78,53
"155",73,55,81,46,55,95,53,17,57,46,61,62,17,68,56
"156",63,47,75,45,51,83,50,4,60,52,63,53,23,75,51
"157",78,49,92,64,54,80,51,7,63,34,57,65,36,66,40
