"","v csk","v dc","v kxip","v kkr","v mi","v rr","v srh"
"2108",24,11,53,26,34,46,28
"2109",19,14,48,29,45,43,38
"2110",26,11,56,29,42,48,34
"2111",50,26,58,27,64,48,34
"2112",26,24,51,29,39,36,40
"2113",35,17,59,27,47,45,42
"2114",28,18,56,32,37,42,33
"2115",14,8,51,22,57,46,39
"2116",27,14,44,30,56,51,39
"2117",29,12,46,28,45,41,41
"2118",25,26,50,26,47,49,37
"2119",26,21,51,30,46,46,31
"2120",32,17,53,27,48,39,29
"2121",38,19,50,24,38,43,30
"2122",22,25,61,31,41,38,34
"2123",27,17,51,27,49,44,36
"2124",36,9,59,31,40,37,36
"2125",28,10,53,30,37,42,36
"2126",18,25,57,31,52,45,44
"2127",36,17,50,31,41,46,34
"2128",27,14,46,28,48,39,34
"2129",27,19,59,25,47,46,33
"2130",27,10,51,29,40,45,30
"2131",18,17,54,31,48,39,32
"2132",34,10,54,22,50,43,40
"2133",25,11,50,25,48,35,35
"2134",22,15,58,27,48,41,38
"2135",32,29,58,26,36,40,38
"2136",38,31,44,30,47,46,33
"2137",21,14,56,26,41,46,29
"2138",32,17,55,32,31,39,33
"2139",27,29,53,30,48,41,33
"2140",27,41,60,29,46,43,37
"2141",21,14,57,30,58,46,33
"2142",27,10,56,32,43,42,27
"2143",27,25,54,25,55,40,36
"2144",38,20,53,26,44,43,34
"2145",30,22,47,32,32,40,37
"2146",26,12,54,32,46,44,31
"2147",29,27,52,29,40,44,36
"2148",26,13,55,31,50,39,33
"2149",36,12,53,31,42,43,33
"2150",22,25,60,28,38,44,28
"2151",16,16,47,31,44,47,30
"2152",37,17,53,27,43,41,27
"2153",21,17,53,27,38,38,30
"2154",20,24,50,24,35,43,31
"2155",36,31,50,24,39,44,41
"2156",21,20,51,31,36,43,28
"2157",23,7,49,35,46,41,36
"2158",24,16,55,27,36,41,28
"2159",25,11,53,38,41,43,40
"2160",26,14,55,28,43,37,38
"2161",30,19,58,34,46,43,38
"2162",34,11,47,28,33,43,34
"2163",34,13,59,31,74,43,26
"2164",24,9,54,25,51,39,26
"2165",33,8,51,28,43,46,36
"2166",30,27,55,31,43,47,32
"2167",21,27,52,30,34,41,34
"2168",28,22,57,29,58,40,37
"2169",24,21,53,25,61,45,38
"2170",20,13,55,27,51,44,35
"2171",25,19,51,28,56,38,34
"2172",24,11,52,26,34,43,33
"2173",23,9,55,29,44,36,26
"2174",24,19,51,26,50,38,29
"2175",31,15,60,26,52,51,32
"2176",30,27,49,25,37,40,39
"2177",31,11,50,29,48,37,37
"2178",38,11,56,31,49,36,30
"2179",30,15,51,26,47,41,34
"2180",23,18,48,31,42,43,39
"2181",33,21,50,26,54,48,35
"2182",33,13,52,34,37,44,39
"2183",26,12,53,33,49,45,32
"2184",32,24,50,33,49,36,36
"2185",28,13,53,28,47,41,41
"2186",40,11,48,25,38,41,31
"2187",24,16,55,35,50,42,40
"2188",28,15,52,35,56,48,32
"2189",35,11,56,28,41,41,34
"2190",23,16,50,31,43,45,33
"2191",29,13,45,28,51,42,24
"2192",24,33,50,34,32,43,34
"2193",42,10,53,27,51,45,30
"2194",20,7,53,33,45,39,31
"2195",37,13,52,23,54,41,39
"2196",24,6,54,27,45,41,34
"2197",22,22,55,25,48,43,35
"2198",30,29,50,23,41,37,29
"2199",28,12,52,31,33,51,35
"2200",19,14,57,25,59,43,37
"2201",22,27,52,20,39,40,30
"2202",37,8,52,34,32,42,27
"2203",35,9,52,30,54,41,31
"2204",24,17,46,24,50,45,31
"2205",15,25,51,31,44,48,41
"2206",30,23,50,29,37,45,30
"2207",25,25,59,32,43,39,40
"2208",39,8,47,25,48,38,28
"2209",36,33,51,29,34,50,31
"2210",18,17,64,36,44,40,29
"2211",31,19,44,26,44,39,29
"2212",24,8,52,30,40,45,36
"2213",21,15,52,31,53,42,34
"2214",23,20,58,31,62,43,39
"2215",27,7,58,37,50,38,36
"2216",24,12,52,31,60,43,30
"2217",23,12,50,27,56,45,33
"2218",32,13,50,28,41,42,27
"2219",29,19,53,29,57,37,35
"2220",31,8,55,25,37,44,42
"2221",21,31,52,22,40,42,30
"2222",36,30,46,28,50,40,37
"2223",14,24,56,25,44,41,30
"2224",27,18,45,30,39,40,31
"2225",17,26,50,32,42,45,33
"2226",25,19,50,28,47,48,31
"2227",28,10,49,30,35,40,31
"2228",29,11,47,29,39,42,37
"2229",34,31,57,23,59,42,34
"2230",11,17,51,30,47,43,42
"2231",24,20,48,29,47,44,29
"2232",30,22,47,33,46,37,30
"2233",29,13,51,34,46,38,40
"2234",23,19,56,27,39,38,33
"2235",31,12,49,27,44,44,28
"2236",25,20,51,24,53,41,28
"2237",28,10,56,30,37,48,29
"2238",24,18,51,31,45,37,39
"2239",34,9,54,30,32,42,33
"2240",26,15,51,35,42,45,33
"2241",32,19,56,27,41,46,37
"2242",29,12,55,24,50,37,36
"2243",22,15,59,33,55,46,37
"2244",34,18,60,25,57,39,35
"2245",34,13,51,24,47,38,24
"2246",34,11,47,27,48,41,32
"2247",29,12,54,28,51,46,23
"2248",30,30,51,22,43,38,33
"2249",25,16,48,30,31,50,38
"2250",21,18,57,28,63,42,28
"2251",41,21,56,29,51,43,28
"2252",35,9,55,28,45,45,35
"2253",22,13,53,32,35,47,34
"2254",24,14,54,32,46,44,30
"2255",33,24,51,24,40,38,30
"2256",21,24,50,25,47,41,41
"2257",31,28,55,26,62,44,37
"2258",37,13,56,28,42,40,30
"2259",30,15,54,26,37,38,32
"2260",35,19,58,26,48,40,36
"2261",29,18,54,28,46,37,34
"2262",15,12,54,29,43,45,40
"2263",26,10,51,26,28,41,34
"2264",32,13,56,22,39,43,37
"2265",27,19,51,28,35,41,36
"2266",34,28,51,31,58,43,33
"2267",32,19,53,30,37,40,33
"2268",32,21,54,28,40,44,38
"2269",23,22,52,30,45,43,28
"2270",31,7,52,33,48,35,33
"2271",31,12,49,25,48,41,32
"2272",45,27,48,32,39,45,28
"2273",23,15,61,24,50,43,29
"2274",29,22,50,28,51,37,32
"2275",33,29,54,30,47,42,39
"2276",27,10,55,27,54,42,28
"2277",38,16,57,29,57,37,37
"2278",32,31,49,28,51,42,32
"2279",27,11,51,31,28,37,36
"2280",25,15,54,33,46,46,30
"2281",27,23,54,35,59,45,42
"2282",27,16,53,26,46,39,29
"2283",30,23,52,25,40,44,32
"2284",32,14,54,32,38,37,35
"2285",32,9,50,33,50,44,37
"2286",22,22,48,29,49,38,32
"2287",21,25,45,32,39,38,34
"2288",27,24,50,30,46,48,28
"2289",35,13,53,26,57,41,31
"2290",26,17,54,25,55,41,33
"2291",29,20,52,28,68,43,36
"2292",28,17,57,23,51,42,38
"2293",26,27,54,29,32,38,37
"2294",30,25,55,26,41,38,38
"2295",32,39,54,33,38,44,29
"2296",28,12,58,28,37,35,34
"2297",23,17,49,33,42,46,31
"2298",33,18,51,32,36,38,35
"2299",21,18,47,28,48,40,39
"2300",26,26,53,28,40,33,26
"2301",31,29,47,31,46,42,40
"2302",29,20,49,36,41,43,38
"2303",27,11,49,27,38,46,35
"2304",28,26,48,31,50,42,34
"2305",28,27,49,29,47,44,34
"2306",31,19,59,26,38,39,28
"2307",28,12,50,34,47,39,36
"2308",21,35,49,29,34,40,34
"2309",33,16,58,30,47,46,31
"2310",24,18,58,29,39,40,47
"2311",29,30,47,32,33,39,40
"2312",17,21,62,27,43,40,46
"2313",20,21,49,26,56,47,39
"2314",27,13,52,33,45,44,29
"2315",25,24,53,29,54,42,28
"2316",46,22,53,37,69,41,24
"2317",31,23,52,26,43,39,32
"2318",31,25,55,31,44,45,27
"2319",23,21,55,27,44,41,29
"2320",32,13,53,27,41,35,36
"2321",30,19,51,27,39,41,37
"2322",30,17,47,32,39,46,39
"2323",43,24,54,24,38,43,37
"2324",33,21,53,32,53,45,35
"2325",19,8,54,27,52,37,34
"2326",36,17,51,27,42,43,26
"2327",26,13,54,26,46,39,31
"2328",27,21,45,27,44,45,40
"2329",31,27,54,25,52,40,39
"2330",27,17,49,31,52,40,30
"2331",29,17,56,27,49,49,39
"2332",32,22,59,29,48,47,33
"2333",20,21,53,26,46,39,35
"2334",30,17,53,28,47,48,33
"2335",18,16,54,24,51,40,42
"2336",36,38,59,27,46,41,36
"2337",28,16,56,31,54,50,31
"2338",39,13,49,26,47,42,26
"2339",24,13,51,35,39,43,32
"2340",25,12,53,26,48,43,33
"2341",34,12,50,31,32,41,29
"2342",35,12,50,27,47,43,37
"2343",33,25,56,30,41,49,34
"2344",26,20,50,30,46,47,31
"2345",24,8,56,27,45,44,43
"2346",22,14,49,23,39,40,40
"2347",33,13,56,25,63,37,32
"2348",38,15,54,33,45,39,35
"2349",33,19,51,30,41,42,30
"2350",21,48,49,35,49,45,30
"2351",22,14,61,31,63,37,33
"2352",37,11,58,26,45,36,30
"2353",37,23,56,28,37,43,35
"2354",23,36,48,25,47,40,30
"2355",37,6,58,31,38,48,45
"2356",38,23,55,23,35,44,33
"2357",35,19,47,28,43,47,41
"2358",37,14,56,29,46,45,34
"2359",43,11,56,28,41,41,36
"2360",27,11,50,30,52,43,31
"2361",25,20,54,32,48,40,30
"2362",29,14,57,26,47,48,37
"2363",30,17,64,30,42,46,35
"2364",26,7,52,33,48,40,28
"2365",26,20,54,30,43,40,37
"2366",21,20,52,27,36,41,28
"2367",26,25,55,26,41,42,41
"2368",28,28,63,29,45,51,28
"2369",27,17,52,24,47,35,32
"2370",26,29,57,35,50,38,34
"2371",29,12,49,27,51,42,35
"2372",44,7,55,30,47,43,30
"2373",28,16,49,31,41,49,36
"2374",30,15,50,25,40,44,34
"2375",36,22,48,33,39,38,37
"2376",30,12,48,25,41,52,38
"2377",39,12,54,25,39,35,33
"2378",28,23,54,33,35,49,41
"2379",36,13,51,27,42,43,32
"2380",29,17,56,31,42,39,33
"2381",24,13,53,23,41,43,27
"2382",24,15,53,25,54,47,35
"2383",26,7,47,26,48,44,36
"2384",24,21,48,31,41,44,28
"2385",19,24,48,34,36,45,40
"2386",20,15,52,27,38,43,32
"2387",18,10,53,33,47,38,42
"2388",30,22,56,29,30,35,37
"2389",31,28,52,29,41,46,30
"2390",27,19,50,30,43,44,34
"2391",31,13,51,30,45,56,36
"2392",28,22,54,32,41,42,35
"2393",27,14,53,30,53,43,34
"2394",28,25,58,30,50,39,37
"2395",25,31,55,29,33,40,36
"2396",32,11,51,32,40,45,36
"2397",19,15,59,29,36,51,32
"2398",22,8,57,27,48,42,30
"2399",33,12,52,32,35,36,34
"2400",29,15,55,25,48,38,36
"2401",32,21,57,33,44,45,37
"2402",27,31,52,27,47,46,22
"2403",32,19,55,28,42,41,34
"2404",36,13,48,25,35,45,26
"2405",29,11,58,25,44,45,35
"2406",27,17,52,30,44,42,30
"2407",24,17,56,29,55,44,41
"2408",21,10,53,28,50,41,36
"2409",26,23,53,32,49,35,38
"2410",22,9,51,26,49,40,36
"2411",26,10,57,27,51,37,49
"2412",31,25,52,30,57,39,36
"2413",21,8,57,29,55,49,39
"2414",20,12,58,32,43,44,36
"2415",24,7,55,37,45,36,27
"2416",19,18,55,26,63,40,37
"2417",24,14,49,23,33,42,42
"2418",35,20,48,34,49,44,33
"2419",29,17,48,32,43,51,29
"2420",21,25,56,28,41,41,44
"2421",27,23,54,33,44,40,37
"2422",27,13,52,31,48,39,38
"2423",39,14,50,26,35,45,33
"2424",27,20,54,32,43,45,34
"2425",32,23,56,25,33,42,33
"2426",35,26,58,30,44,39,34
"2427",21,10,61,32,34,42,33
"2428",25,24,48,22,37,43,33
"2429",35,17,46,30,44,45,32
"2430",18,16,58,29,45,40,34
"2431",19,12,54,24,51,41,31
"2432",27,11,49,33,57,46,30
"2433",24,14,52,25,35,39,30
"2434",31,11,52,27,40,41,31
"2435",25,24,52,28,34,43,35
"2436",24,19,49,27,29,42,33
"2437",26,7,53,25,60,42,33
"2438",27,14,54,26,45,41,36
"2439",24,23,52,24,47,40,43
"2440",26,17,52,26,42,41,30
"2441",25,18,51,31,49,35,36
"2442",36,16,51,26,57,45,45
"2443",32,24,52,30,36,41,29
"2444",23,25,45,23,50,46,32
"2445",38,17,48,28,44,46,37
"2446",21,10,52,28,48,39,34
"2447",28,22,50,25,48,39,34
"2448",35,17,54,27,39,46,30
"2449",25,13,58,24,47,54,31
"2450",31,12,50,33,40,40,34
"2451",26,15,56,30,43,42,36
"2452",36,22,49,23,58,47,34
"2453",26,11,56,25,48,38,35
"2454",24,12,50,33,38,45,30
"2455",34,8,53,27,66,41,38
"2456",23,13,54,26,27,40,36
"2457",30,19,58,30,48,42,36
"2458",39,21,51,29,34,44,42
"2459",26,10,49,30,40,46,33
"2460",41,17,53,32,39,41,36
"2461",43,16,57,25,49,41,37
"2462",28,18,54,26,40,47,28
"2463",25,18,53,28,38,42,31
"2464",29,10,53,26,43,42,37
"2465",24,15,52,23,45,43,43
"2466",22,11,53,28,47,41,36
"2467",31,7,52,26,45,45,41
"2468",26,24,53,27,58,37,30
"2469",33,30,51,28,36,35,31
"2470",33,19,56,39,32,47,41
"2471",26,14,52,26,48,43,29
"2472",14,46,52,30,53,41,30
"2473",23,16,51,27,46,41,34
"2474",34,14,48,27,62,38,40
"2475",28,6,56,29,47,34,38
"2476",33,13,59,28,39,40,36
"2477",40,16,48,31,36,44,38
"2478",22,15,56,27,48,40,36
"2479",25,11,48,28,36,44,36
"2480",29,21,53,25,36,43,41
"2481",26,5,51,25,36,42,34
"2482",26,40,50,29,41,48,42
"2483",23,10,53,29,43,45,33
"2484",27,7,61,30,39,48,33
"2485",22,14,53,27,42,40,32
"2486",23,16,48,28,43,45,29
"2487",30,27,56,29,51,41,30
"2488",42,12,56,28,50,46,29
"2489",19,22,59,24,52,35,38
"2490",18,23,55,35,46,42,49
"2491",28,12,54,28,37,35,30
"2492",21,16,52,31,53,39,45
"2493",22,13,51,34,33,40,30
"2494",26,8,57,22,72,47,52
"2495",25,21,61,35,38,37,27
"2496",24,31,54,30,26,44,33
"2497",21,16,51,29,39,42,37
"2498",31,16,51,29,46,39,29
"2499",29,10,57,32,44,46,33
"2500",26,12,59,29,40,35,43
"2501",22,14,48,28,43,41,34
"2502",33,19,45,33,63,39,42
"2503",32,26,47,27,51,46,35
"2504",22,31,51,27,47,36,32
"2505",34,19,54,31,43,42,41
"2506",31,14,49,30,34,47,35
"2507",33,18,51,27,49,43,45
"2508",36,10,51,33,47,43,26
"2509",32,15,47,28,37,42,36
"2510",26,15,50,35,41,38,34
"2511",23,18,51,27,41,40,39
"2512",33,27,54,26,50,40,32
"2513",35,20,54,31,38,42,27
"2514",24,14,49,37,36,44,36
"2515",26,26,53,31,68,39,31
"2516",26,16,49,27,40,45,34
"2517",43,26,50,29,33,37,33
"2518",34,28,56,22,44,43,32
"2519",29,20,57,28,49,38,35
"2520",22,14,51,29,40,42,42
"2521",23,13,59,25,37,41,36
"2522",24,19,52,28,41,42,39
"2523",22,15,48,26,41,44,33
"2524",23,16,53,28,44,41,29
"2525",31,13,52,31,46,40,31
"2526",37,14,57,36,41,43,33
"2527",42,14,53,33,42,38,28
"2528",24,34,53,19,50,42,34
"2529",21,25,53,26,35,43,29
"2530",26,23,52,21,39,42,35
"2531",30,16,49,30,49,44,36
"2532",35,24,57,28,48,42,27
"2533",30,15,58,32,41,44,35
"2534",30,7,51,34,41,42,31
"2535",34,14,50,30,38,43,34
"2536",22,21,53,39,43,31,29
"2537",28,13,51,26,41,43,44
"2538",32,18,57,27,52,44,34
"2539",28,22,51,23,44,44,31
"2540",21,18,53,29,37,41,29
"2541",27,17,54,26,56,50,35
"2542",36,16,58,31,37,46,31
"2543",45,14,51,27,32,41,34
"2544",27,24,54,26,46,41,31
"2545",25,17,53,24,47,40,44
"2546",19,26,52,31,40,42,33
"2547",24,11,56,35,41,41,38
"2548",28,14,59,28,43,43,34
"2549",29,11,47,30,46,46,36
"2550",33,18,52,24,45,44,30
"2551",30,21,50,25,62,38,29
"2552",20,17,46,28,46,45,30
"2553",25,23,50,21,50,45,34
"2554",30,11,55,27,47,42,29
"2555",44,7,57,28,55,35,34
"2556",30,21,46,26,51,39,35
"2557",42,11,47,25,38,39,42
"2558",30,18,57,30,41,39,30
"2559",23,25,55,28,49,51,28
"2560",20,8,57,28,44,42,29
"2561",19,21,48,29,50,39,32
"2562",20,42,55,23,44,51,32
"2563",29,21,48,26,50,40,27
"2564",43,24,51,33,49,36,34
"2565",32,24,50,32,38,38,39
"2566",40,15,46,24,42,41,27
"2567",22,31,53,29,33,40,38
"2568",27,15,49,23,43,45,32
"2569",28,22,50,26,40,41,32
"2570",30,27,47,27,41,45,28
"2571",28,21,54,34,47,39,41
"2572",40,15,50,27,36,42,30
"2573",42,6,57,26,45,41,35
"2574",27,24,57,27,39,39,28
"2575",27,8,50,29,40,42,39
"2576",25,25,53,25,43,50,26
"2577",37,14,55,26,42,38,34
"2578",30,10,56,31,48,42,41
"2579",32,9,51,28,46,37,33
"2580",24,8,53,36,48,40,41
"2581",24,15,48,22,46,42,34
"2582",25,24,54,30,38,42,41
"2583",33,20,53,30,39,45,33
"2584",30,28,54,32,49,43,36
"2585",40,20,52,25,57,44,41
"2586",35,22,57,30,49,39,22
"2587",21,36,56,30,38,33,29
"2588",31,13,51,26,58,44,36
"2589",29,18,54,24,47,41,37
"2590",29,10,52,24,44,41,31
"2591",26,20,61,32,54,41,36
"2592",22,12,53,39,56,38,32
"2593",33,34,59,30,40,41,29
"2594",22,9,50,26,42,38,34
"2595",32,25,53,26,52,40,27
"2596",25,22,49,26,39,42,31
"2597",25,20,59,27,44,45,38
"2598",22,20,54,26,42,42,41
"2599",29,17,50,32,30,41,28
"2600",30,22,51,33,60,44,35
"2601",30,14,56,27,51,46,29
"2602",41,24,56,28,42,40,42
"2603",26,18,57,30,47,44,42
"2604",26,11,58,32,41,45,29
"2605",44,20,59,30,50,44,30
"2606",43,18,59,23,49,43,31
"2607",19,16,52,32,42,43,30
"2608",16,14,51,33,49,42,32
"2609",16,37,57,32,53,44,41
"2610",32,21,54,25,47,41,38
"2611",32,24,51,26,61,40,31
"2612",28,11,48,26,46,49,36
"2613",23,18,54,33,43,45,30
"2614",24,33,48,28,37,41,27
"2615",26,14,50,24,44,46,43
"2616",30,5,53,28,45,41,32
"2617",29,18,58,29,44,40,24
"2618",35,16,57,25,32,42,31
"2619",23,21,55,28,44,47,34
"2620",29,19,55,33,48,45,34
"2621",22,12,59,30,27,43,43
"2622",29,18,54,25,41,40,34
"2623",33,15,51,30,46,43,38
"2624",23,28,54,33,46,41,41
"2625",30,19,45,36,39,43,35
"2626",25,26,50,27,37,44,34
"2627",29,8,51,26,34,43,35
"2628",23,23,53,33,41,41,27
"2629",39,18,58,33,51,43,32
"2630",21,17,50,31,47,41,40
"2631",23,12,55,29,50,46,43
"2632",31,20,54,32,45,45,35
"2633",34,11,54,30,49,43,35
"2634",37,16,50,30,52,43,38
"2635",29,9,53,25,45,38,33
"2636",32,20,53,29,53,40,39
"2637",31,30,59,36,52,38,27
"2638",27,17,59,29,48,44,30
"2639",27,22,49,28,47,36,35
"2640",29,20,48,30,41,44,36
"2641",25,17,55,29,35,39,40
"2642",21,20,52,30,48,41,33
"2643",31,12,50,30,43,45,34
"2644",40,21,52,25,46,43,31
"2645",24,21,56,30,41,48,42
"2646",34,11,51,35,49,38,37
"2647",32,17,55,26,39,41,33
"2648",35,21,50,26,39,44,31
"2649",29,14,55,23,51,39,34
"2650",30,22,54,29,38,36,30
"2651",24,30,46,26,40,44,45
"2652",30,15,46,30,37,39,31
"2653",26,16,50,27,62,43,29
"2654",27,17,46,30,48,39,29
"2655",28,32,54,29,43,35,38
"2656",29,16,57,25,54,44,31
"2657",21,29,50,24,41,43,37
"2658",27,20,53,29,45,44,42
"2659",27,25,55,28,47,38,33
"2660",40,10,51,33,35,42,30
"2661",23,26,52,28,37,40,32
"2662",33,17,53,29,42,44,42
"2663",25,16,50,28,42,42,38
"2664",27,15,48,28,44,44,34
"2665",23,14,50,26,33,41,37
"2666",30,17,56,35,42,41,32
"2667",31,22,54,22,42,41,37
"2668",38,12,53,28,50,36,41
"2669",28,17,57,29,55,45,34
"2670",25,23,49,28,59,40,34
"2671",33,18,54,29,50,52,30
"2672",30,22,60,33,39,40,36
"2673",28,8,58,32,32,37,36
"2674",17,20,51,27,48,37,32
"2675",28,22,51,23,48,38,33
"2676",30,18,58,28,41,41,34
"2677",29,14,55,30,41,45,35
"2678",24,14,62,28,38,39,36
"2679",38,10,52,29,49,42,34
"2680",25,25,51,27,49,44,32
"2681",32,17,46,35,62,41,34
"2682",30,10,45,27,34,45,32
"2683",31,14,50,30,29,44,35
"2684",29,32,55,26,48,45,36
"2685",32,10,53,32,39,42,46
"2686",30,19,45,27,51,46,33
"2687",20,12,57,30,37,43,30
"2688",30,22,60,27,52,40,34
"2689",29,23,53,31,37,33,22
"2690",22,9,52,31,50,44,25
"2691",26,26,53,29,51,41,36
"2692",26,13,55,26,39,44,36
"2693",20,27,50,32,43,38,41
"2694",26,18,53,26,32,43,32
"2695",27,19,57,28,47,46,34
"2696",25,15,62,26,47,42,33
"2697",18,22,54,31,50,40,35
"2698",35,12,53,25,43,36,32
"2699",38,29,57,28,34,39,36
"2700",32,18,54,29,56,44,36
"2701",33,14,50,25,43,35,34
"2702",25,26,56,31,40,38,38
"2703",35,22,46,30,44,42,36
"2704",22,6,52,26,43,41,39
"2705",28,30,51,29,39,44,34
"2706",28,9,52,37,35,45,31
"2707",32,15,51,26,50,41,33
"2708",26,15,50,29,32,40,29
"2709",31,8,48,32,38,42,36
"2710",25,24,48,28,54,40,47
"2711",26,16,52,34,37,41,28
"2712",22,14,54,28,48,41,33
"2713",25,24,48,34,41,41,32
"2714",28,16,53,26,43,42,33
"2715",30,8,55,33,36,41,21
"2716",25,19,49,25,52,40,31
"2717",35,22,48,31,63,39,33
"2718",38,7,55,23,38,48,29
"2719",30,19,55,23,43,40,34
"2720",20,15,58,31,46,42,35
"2721",21,15,55,33,55,40,30
"2722",27,26,51,24,42,41,30
"2723",34,12,55,29,42,42,29
"2724",26,18,58,27,47,40,34
"2725",22,17,53,22,39,43,40
"2726",30,22,55,29,43,39,39
"2727",20,24,48,31,60,40,41
"2728",41,15,59,25,46,38,28
"2729",32,20,59,32,37,51,37
"2730",23,20,48,36,46,44,40
"2731",26,18,51,28,49,42,33
"2732",35,25,51,30,36,39,31
"2733",24,20,54,23,32,41,41
"2734",30,14,48,31,36,49,28
"2735",34,21,49,28,34,46,31
"2736",30,11,52,24,38,45,39
"2737",38,13,52,25,41,43,41
"2738",33,13,55,26,53,44,36
"2739",31,11,55,29,52,42,33
"2740",50,18,59,30,46,34,31
"2741",32,21,53,29,43,40,33
"2742",23,7,51,34,55,47,30
"2743",23,19,54,34,33,42,29
"2744",34,23,52,30,40,37,26
"2745",29,13,48,29,52,41,30
"2746",26,15,50,24,51,45,38
"2747",39,20,52,28,42,48,30
"2748",32,12,54,30,47,44,30
"2749",30,10,47,32,39,38,37
"2750",31,13,53,29,61,45,33
"2751",29,14,55,24,49,41,35
"2752",47,17,60,28,36,40,29
"2753",33,11,56,29,43,37,33
"2754",27,15,52,30,40,45,27
"2755",33,15,62,36,51,33,30
"2756",29,16,51,31,54,44,35
"2757",28,16,52,29,46,40,38
"2758",24,25,52,32,50,44,33
"2759",34,19,50,27,45,37,30
"2760",29,33,58,23,34,46,31
"2761",22,16,52,34,35,44,36
"2762",24,12,55,28,31,35,36
"2763",35,14,50,27,50,37,36
"2764",39,22,53,28,52,40,36
"2765",27,9,58,23,59,44,32
"2766",27,11,61,29,51,41,34
"2767",20,12,52,28,53,43,31
"2768",27,28,58,30,37,42,37
"2769",29,18,49,24,49,39,31
"2770",29,15,53,27,46,44,35
"2771",28,16,55,27,48,53,32
"2772",33,39,54,30,39,40,37
"2773",29,12,47,28,47,37,37
"2774",27,9,62,30,50,38,30
"2775",30,16,49,26,44,41,28
"2776",36,16,48,29,45,43,32
"2777",16,11,48,26,40,39,31
"2778",27,22,56,39,41,48,41
"2779",27,16,53,32,50,41,32
"2780",30,10,52,30,42,35,32
"2781",27,10,55,30,49,39,33
"2782",44,15,55,26,37,41,30
"2783",29,14,53,27,51,43,33
"2784",29,5,50,31,33,42,37
"2785",35,18,47,24,29,46,29
"2786",39,13,51,31,33,38,34
"2787",30,14,58,28,36,37,41
"2788",33,39,53,25,43,42,33
"2789",21,16,57,26,46,43,37
"2790",32,13,45,31,44,39,39
"2791",37,19,59,28,41,46,37
"2792",36,22,47,22,50,46,32
"2793",27,10,55,22,43,49,29
"2794",25,22,51,31,35,43,36
"2795",23,16,52,35,52,42,33
"2796",35,13,52,27,41,36,35
"2797",25,16,60,31,38,39,26
"2798",24,8,49,26,41,41,30
"2799",37,13,53,29,45,45,30
"2800",47,18,51,30,42,42,34
"2801",40,20,59,26,41,46,25
"2802",33,18,53,32,49,42,36
"2803",28,19,45,31,47,40,37
"2804",31,13,50,25,38,34,29
"2805",29,17,44,24,42,35,37
"2806",30,24,54,28,35,33,32
"2807",33,10,52,31,36,41,39
"2808",28,10,51,27,38,38,31
"2809",22,15,52,31,42,48,35
"2810",24,19,57,30,55,42,32
"2811",24,14,50,30,42,40,43
"2812",35,12,48,32,51,41,32
"2813",21,10,60,28,51,36,31
"2814",23,12,62,27,47,39,35
"2815",28,12,51,32,44,38,28
"2816",20,14,55,36,48,44,28
"2817",29,23,54,28,48,36,31
"2818",31,10,58,34,50,45,29
"2819",29,19,55,26,38,43,36
"2820",28,19,51,34,36,39,32
"2821",25,15,47,29,59,39,27
"2822",28,15,49,30,49,46,32
"2823",20,31,49,28,41,45,32
"2824",24,20,65,29,49,42,36
"2825",32,14,50,39,38,44,33
"2826",22,17,58,27,40,40,33
"2827",26,20,55,31,45,42,33
"2828",36,9,55,29,46,43,37
"2829",31,14,51,25,33,42,24
"2830",24,12,50,25,33,38,32
"2831",31,26,54,31,36,40,34
"2832",24,29,61,28,53,41,26
"2833",31,16,49,32,49,47,38
"2834",42,12,57,27,34,40,29
"2835",25,12,46,28,53,34,33
"2836",32,24,62,29,51,41,30
"2837",40,13,53,30,36,46,32
"2838",26,21,47,29,51,41,31
"2839",34,15,53,28,50,44,35
"2840",26,20,58,24,45,47,38
"2841",35,24,57,28,40,41,31
"2842",28,19,57,31,42,40,43
"2843",29,21,56,34,42,44,33
"2844",27,11,56,32,42,40,30
"2845",24,6,53,26,44,40,42
"2846",22,18,50,30,52,38,43
"2847",26,15,56,30,34,43,38
"2848",33,8,54,24,36,47,42
"2849",32,8,50,22,50,39,32
"2850",37,19,51,27,36,44,31
"2851",29,15,56,29,42,42,36
"2852",26,20,53,30,44,43,33
"2853",33,12,50,22,51,46,39
"2854",21,12,51,31,48,40,40
"2855",25,16,58,29,41,43,24
"2856",29,22,60,31,42,44,34
"2857",18,10,53,25,37,46,31
"2858",28,8,55,25,37,46,36
"2859",29,19,56,32,51,45,26
"2860",28,13,49,29,45,40,33
"2861",34,33,53,24,54,53,36
"2862",34,13,52,24,36,43,34
"2863",20,27,58,34,37,39,33
"2864",27,23,59,30,46,45,31
"2865",25,13,52,28,32,43,38
"2866",33,12,47,29,29,43,33
"2867",23,21,50,28,42,38,32
"2868",25,29,55,28,42,40,30
"2869",17,9,52,28,41,40,35
"2870",34,18,51,28,47,50,34
"2871",35,40,57,26,76,38,38
"2872",27,10,53,35,57,41,32
"2873",29,17,57,29,39,42,37
"2874",19,16,46,26,35,40,37
"2875",26,10,48,26,44,46,31
"2876",37,27,53,28,42,38,34
"2877",39,20,47,31,45,43,33
"2878",21,17,51,25,45,41,30
"2879",31,27,49,23,46,46,35
"2880",43,10,46,28,43,42,34
"2881",32,21,48,27,52,44,31
"2882",29,17,52,31,49,43,31
