"","v csk","v dc","v kxip","v kkr","v mi","v rr","v srh"
"187",31,12,50,29,51,39,31
"188",34,19,52,28,49,34,35
"189",26,15,59,26,54,45,38
"190",28,20,56,27,54,38,37
"191",28,27,56,28,57,46,27
"192",28,16,48,26,32,32,28
"193",37,20,46,27,33,43,42
"194",26,13,54,27,35,38,35
"195",38,22,51,33,48,41,33
"196",23,8,60,29,51,37,36
"197",28,22,57,28,58,41,40
"198",26,16,55,32,38,45,28
"199",25,17,59,32,37,43,34
"200",26,14,53,29,58,44,34
"201",34,13,54,27,37,46,39
"202",22,17,52,32,41,43,38
"203",30,8,57,28,46,40,43
"204",26,41,60,32,49,40,35
"205",22,21,54,21,44,41,34
"206",28,12,51,29,46,42,25
"207",37,18,50,26,43,45,36
"208",18,19,56,29,47,43,31
"209",30,15,57,36,43,38,32
"210",32,17,58,32,47,38,43
"211",33,19,54,30,45,42,33
"212",26,12,56,31,54,52,29
"213",27,12,50,27,39,40,38
"214",30,21,50,30,47,39,31
"215",28,17,56,32,39,45,20
"216",39,16,60,32,58,35,29
"217",24,14,55,32,35,44,34
"218",31,15,49,26,32,46,29
"219",26,10,52,29,40,43,36
"220",32,22,51,27,51,36,32
"221",19,36,47,30,52,39,30
"222",21,21,63,28,57,37,32
"223",23,12,46,31,33,39,31
"224",34,21,57,28,46,46,40
"225",32,25,52,22,39,39,26
"226",24,17,59,28,43,47,33
"227",34,30,52,30,35,41,37
"228",37,10,56,32,39,47,32
"229",36,17,51,25,44,39,30
"230",26,13,51,32,53,42,44
"231",28,14,57,29,40,39,35
"232",28,10,54,22,36,44,33
"233",26,11,56,31,53,44,27
"234",26,27,60,28,40,45,31
"235",28,12,48,29,43,40,30
"236",26,19,49,31,35,36,30
"237",29,11,59,29,37,43,38
"238",33,10,55,36,44,49,36
"239",23,33,52,30,52,41,30
"240",28,20,53,26,46,42,28
"241",25,15,49,26,50,41,29
"242",21,8,54,26,48,33,38
"243",24,17,54,30,33,39,38
"244",29,15,50,27,33,40,38
"245",35,20,50,34,40,38,37
"246",32,28,56,29,36,44,27
"247",28,16,52,30,49,42,29
"248",19,15,54,28,51,41,30
"249",30,30,45,25,39,44,25
"250",22,16,52,32,49,42,31
"251",29,24,55,32,39,42,36
"252",27,20,51,26,42,43,37
"253",29,14,51,34,46,34,37
"254",30,20,55,29,50,47,34
"255",27,12,58,25,47,37,36
"256",16,9,41,25,37,45,26
"257",21,23,55,28,35,44,33
"258",30,13,52,28,46,43,34
"259",37,17,53,31,42,41,36
"260",33,11,57,27,31,44,35
"261",22,36,57,29,38,42,36
"262",19,32,44,28,30,39,30
"263",32,10,58,25,31,39,32
"264",38,11,55,30,41,40,33
"265",25,15,52,29,40,37,43
"266",20,5,56,26,41,40,24
"267",31,13,55,31,46,46,30
"268",33,10,52,25,43,43,39
"269",21,15,49,31,41,38,32
"270",40,34,47,28,44,36,31
"271",20,6,51,31,41,41,27
"272",25,18,49,27,35,39,33
"273",26,11,51,28,43,34,32
"274",21,17,60,30,37,38,35
"275",25,11,51,25,42,46,28
"276",29,22,48,30,47,36,33
"277",23,25,53,28,40,44,34
"278",25,16,58,26,43,40,36
"279",25,18,61,26,58,40,40
"280",29,14,48,26,48,37,37
"281",25,13,48,29,61,39,29
"282",22,27,49,33,42,44,30
"283",29,12,51,23,43,38,34
"284",21,23,55,26,46,47,33
"285",24,18,51,27,40,42,35
"286",32,12,51,29,50,46,40
"287",26,17,52,26,46,40,34
"288",28,16,50,31,52,45,31
"289",31,11,59,31,44,43,32
"290",31,26,50,30,47,42,36
"291",26,21,52,32,44,39,35
"292",16,16,51,24,51,44,36
"293",23,7,45,22,32,38,33
"294",19,14,53,30,58,46,41
"295",30,16,58,23,42,42,31
"296",26,21,49,25,56,42,27
"297",30,11,54,25,51,45,29
"298",34,32,54,31,54,44,33
"299",29,12,54,30,52,46,34
"300",34,22,50,27,32,44,30
"301",28,10,48,28,51,45,32
"302",20,20,48,31,48,41,26
"303",26,10,51,28,49,36,35
"304",30,30,55,24,35,42,29
"305",29,7,50,32,43,40,37
"306",33,14,49,26,36,48,29
"307",28,26,49,30,34,45,30
"308",33,16,57,28,48,44,28
"309",26,13,50,24,56,47,30
"310",39,7,57,29,40,39,33
"311",22,10,54,28,54,42,33
"312",22,13,49,26,49,39,32
"313",33,10,49,26,33,43,36
"314",25,13,52,29,40,47,24
"315",30,7,55,29,51,44,34
"316",22,16,55,29,42,42,40
"317",25,28,54,28,48,36,37
"318",24,19,49,30,47,48,35
"319",26,17,50,27,34,49,28
"320",27,11,52,26,35,39,25
"321",29,18,58,24,44,43,36
"322",45,16,47,25,33,47,37
"323",28,47,51,29,40,44,32
"324",24,13,50,31,62,38,25
"325",23,28,51,27,46,38,38
"326",22,6,51,25,39,45,35
"327",30,43,57,31,50,38,25
"328",29,18,56,30,31,45,35
"329",37,22,55,34,37,38,31
"330",29,19,50,33,38,39,33
"331",21,12,53,28,40,45,40
"332",46,23,52,28,43,32,38
"333",21,20,56,32,42,52,32
"334",23,16,50,27,45,45,32
"335",24,19,50,33,55,44,26
"336",36,21,48,25,37,47,41
"337",31,21,48,29,54,46,31
"338",28,34,53,27,36,33,37
"339",37,18,47,30,43,41,32
"340",32,22,49,28,48,46,31
"341",30,12,57,34,55,43,27
"342",33,27,54,30,41,44,32
"343",26,11,57,21,50,57,35
"344",40,12,54,28,46,45,38
"345",30,26,52,31,45,48,31
"346",24,17,53,30,46,39,32
"347",31,19,54,23,54,44,39
"348",23,24,57,29,55,52,31
"349",30,21,46,22,48,43,32
"350",26,5,55,30,30,48,34
"351",21,29,53,31,46,47,38
"352",23,19,49,26,52,42,30
"353",31,20,45,28,48,38,33
"354",33,7,53,27,45,43,32
"355",25,15,51,32,34,45,35
"356",29,20,55,27,36,50,32
"357",30,20,53,28,42,51,34
"358",14,24,51,29,39,46,25
"359",29,26,48,31,48,39,41
"360",30,12,54,32,38,46,30
"361",22,29,50,33,50,47,39
"362",20,12,56,34,48,36,31
"363",29,8,54,30,42,38,37
"364",20,19,49,28,54,48,33
"365",26,19,49,29,40,40,41
"366",31,16,56,24,51,46,25
"367",30,14,49,22,31,46,42
"368",29,21,58,28,48,43,37
"369",25,23,50,28,51,41,43
"370",36,15,56,32,44,46,35
"371",26,20,49,31,38,43,27
"372",30,21,49,25,59,41,28
"373",23,17,56,26,43,36,38
"374",30,8,59,28,48,43,26
"375",26,16,55,24,43,42,34
"376",30,22,52,28,46,35,32
"377",26,8,61,29,56,41,41
"378",36,18,51,26,39,40,38
"379",26,18,54,31,50,53,31
"380",38,21,53,25,43,38,34
"381",32,9,49,30,41,42,33
"382",23,12,48,26,35,45,29
"383",22,19,56,26,41,40,35
"384",24,28,56,28,51,35,33
"385",25,10,55,28,40,44,31
"386",28,17,57,25,53,38,29
"387",22,11,63,27,48,45,42
"388",18,18,53,26,41,47,32
"389",28,24,50,29,40,41,33
"390",38,25,54,29,35,43,31
"391",20,21,51,21,42,40,31
"392",22,27,50,31,38,40,35
"393",26,14,48,36,42,37,36
"394",31,32,52,29,38,39,42
"395",26,17,53,27,35,41,31
"396",42,14,57,33,35,42,33
"397",27,16,51,29,51,38,25
"398",28,15,49,28,38,36,38
"399",26,11,56,29,39,37,43
"400",28,37,51,32,43,39,32
"401",22,18,57,28,42,38,32
"402",21,17,52,27,50,45,27
"403",36,18,50,35,41,38,33
"404",26,16,55,37,63,45,39
"405",26,14,48,28,38,43,34
"406",28,12,55,28,41,42,27
"407",36,9,49,28,55,43,29
"408",27,18,55,24,57,43,32
"409",28,15,44,29,37,42,39
"410",38,24,52,29,52,37,27
"411",26,19,52,30,54,43,28
"412",25,6,64,27,45,38,33
"413",30,28,59,26,36,40,35
"414",28,13,52,31,45,37,22
"415",36,24,57,34,46,41,46
"416",31,13,52,25,42,45,27
"417",33,22,44,30,44,46,45
"418",39,13,56,24,42,39,27
"419",37,25,50,22,52,45,33
"420",32,18,55,26,37,42,33
"421",20,17,58,28,48,42,30
"422",29,19,51,25,41,40,33
"423",31,17,50,30,46,44,35
"424",29,17,48,30,52,36,38
"425",32,16,53,25,37,43,31
