"","v Afghanistan","v Bangladesh","v England","v Hong Kong","v India","v Ireland","v Kenya","v Netherlands","v New Zealand","v Pakistan","v South Africa","v Sri Lanka","v U.A.E.","v West Indies","v Zimbabwe"
"94",45,37,38,31,31,4,35,32,7,51,10,47,29,20,49
"95",40,44,31,29,37,7,30,33,9,51,10,43,29,23,48
"96",46,30,35,27,27,2,25,30,11,54,9,51,37,21,59
"97",44,34,36,26,32,1,29,28,10,50,11,58,24,27,48
"98",49,37,36,32,38,2,27,32,8,54,13,45,31,23,54
"99",45,41,43,35,41,1,30,28,7,55,11,44,25,22,58
"100",47,44,36,39,31,5,32,31,10,50,15,40,29,20,50
"101",42,27,43,31,31,5,29,29,8,53,10,50,28,18,63
"102",53,35,35,31,24,1,30,29,9,57,12,41,31,23,54
"103",52,29,39,28,44,1,26,32,6,53,9,44,28,21,52
"104",50,23,40,32,32,2,29,27,9,49,9,47,28,21,52
"105",48,52,40,28,26,3,30,29,10,51,10,45,37,24,50
"106",45,34,36,28,41,1,35,34,11,57,10,37,30,21,54
"107",44,38,47,29,45,2,30,31,12,52,11,47,29,22,50
"108",50,33,28,33,46,1,30,26,7,53,13,42,31,19,60
"109",45,36,50,32,35,1,27,28,11,68,11,47,34,23,57
"110",43,28,38,28,25,1,32,30,7,61,16,47,26,27,58
"111",49,31,38,27,33,1,33,31,9,58,10,45,37,19,56
"112",49,26,30,31,36,3,30,35,11,53,8,45,31,22,58
"113",51,27,45,33,30,1,36,29,10,46,9,36,31,16,54
"114",47,25,41,34,31,2,35,30,8,61,8,35,31,17,56
"115",41,31,43,37,32,1,33,37,7,61,11,45,29,21,63
"116",46,30,40,36,35,1,28,32,9,52,6,45,24,23,60
"117",48,36,34,30,32,1,34,28,7,55,7,61,36,26,53
"118",50,24,36,30,34,2,35,35,9,60,15,37,34,21,58
"119",42,28,34,33,46,1,30,28,8,46,12,51,27,26,54
"120",49,39,37,30,37,8,31,35,6,53,7,50,32,19,58
"121",51,34,37,35,35,10,27,34,7,49,8,43,32,24,54
"122",44,30,43,28,38,6,29,32,10,53,11,43,36,22,51
"123",46,35,36,36,40,3,30,26,11,55,10,48,33,22,50
"124",52,26,29,27,26,4,27,28,7,53,9,45,30,20,55
"125",44,43,38,40,36,1,28,29,8,60,11,47,34,21,51
"126",48,41,30,33,43,3,33,32,6,58,14,45,30,21,50
"127",42,29,38,28,31,3,26,37,7,54,10,39,33,24,50
"128",48,31,40,27,41,1,27,35,8,55,11,36,35,22,47
"129",49,34,37,37,34,3,25,30,8,47,10,44,31,21,54
"130",49,40,34,34,33,1,30,34,6,50,9,45,27,25,48
"131",53,41,37,26,32,2,27,29,10,54,9,38,29,21,53
"132",46,42,42,40,26,1,33,34,9,45,9,48,28,23,48
"133",43,43,29,29,40,2,34,34,8,50,10,44,34,26,54
"134",44,35,45,34,37,5,30,30,8,59,9,38,29,23,62
"135",49,37,37,25,29,1,37,37,6,45,10,46,22,22,52
"136",47,37,47,29,45,1,31,32,10,55,12,36,28,22,60
"137",46,48,49,30,30,1,38,25,10,50,10,42,30,25,52
"138",49,39,41,32,30,1,27,33,7,52,10,35,33,25,54
"139",43,38,33,24,33,5,35,36,12,55,14,33,28,24,52
"140",52,34,32,31,30,2,29,37,9,47,11,43,32,22,62
"141",44,43,35,31,42,3,32,27,7,49,12,42,31,20,53
"142",50,30,38,29,27,2,31,34,10,56,11,49,32,20,52
"143",45,39,43,32,27,4,28,29,8,46,10,44,26,29,50
"144",51,33,37,33,32,3,37,32,6,53,8,47,30,28,57
"145",51,40,31,29,37,1,38,30,7,52,13,51,33,21,59
"146",48,27,36,27,32,5,35,34,9,56,8,45,33,24,53
"147",48,35,34,29,34,1,28,33,9,52,13,49,32,21,47
"148",49,29,36,38,26,1,28,29,9,58,11,45,27,24,43
"149",41,37,30,28,33,1,32,37,13,50,9,37,33,17,54
"150",43,28,39,29,33,6,33,36,9,51,11,35,33,21,56
"151",48,35,39,28,42,2,28,35,11,57,8,32,24,25,61
"152",44,29,33,30,40,8,27,27,10,57,8,40,29,27,57
"153",52,33,37,37,31,1,33,27,6,50,13,36,33,18,52
"154",46,27,35,25,33,1,37,30,8,51,12,40,32,22,56
"155",50,28,42,30,32,1,33,28,7,56,12,40,35,22,48
"156",40,27,33,29,37,4,30,34,10,53,14,39,27,23,52
"157",49,36,37,35,42,9,32,31,8,47,14,41,29,19,53
"158",48,34,41,30,26,1,38,29,8,48,9,41,28,22,50
"159",43,45,30,34,33,2,26,32,11,45,12,49,29,17,60
"160",51,39,27,25,28,1,33,29,8,54,13,41,38,20,54
"161",57,26,38,42,32,7,33,29,5,49,9,35,33,23,52
"162",52,33,36,30,27,1,35,26,11,55,13,29,35,21,52
"163",49,28,34,34,31,1,30,38,10,50,11,47,33,24,51
"164",49,41,30,31,34,2,30,29,8,54,8,39,29,19,51
"165",48,31,28,34,27,2,32,26,10,60,12,45,33,26,56
"166",42,32,39,31,30,1,39,27,8,63,10,34,33,22,58
"167",44,31,27,29,28,3,31,29,9,51,10,47,34,21,46
"168",48,37,37,32,43,1,35,29,9,50,11,50,29,24,60
"169",49,36,42,31,33,1,35,30,12,59,11,43,38,26,55
"170",55,30,29,29,21,2,38,27,7,51,9,40,43,18,51
"171",49,32,35,32,36,1,32,29,7,53,8,46,35,19,54
"172",52,38,35,32,36,4,27,30,9,49,12,39,28,22,57
"173",50,24,42,29,36,1,32,32,9,54,14,38,31,21,51
"174",43,41,35,31,36,1,31,29,7,53,13,44,35,20,52
"175",48,29,39,30,33,3,28,27,8,54,13,41,28,26,58
"176",53,42,34,27,32,1,31,29,10,47,12,44,37,23,51
"177",53,40,48,34,35,1,24,32,7,53,10,28,29,18,55
"178",46,35,30,30,29,2,32,29,7,45,12,44,24,23,55
"179",46,27,40,30,31,3,29,32,6,62,12,49,30,20,64
"180",47,39,47,37,35,3,32,29,8,54,11,41,35,21,57
"181",45,39,38,30,44,2,28,34,11,47,11,37,31,16,53
"182",46,37,37,33,37,1,28,36,7,49,12,41,31,20,49
"183",44,30,40,30,32,1,29,37,7,46,9,40,29,20,54
"184",49,19,44,28,33,3,33,30,6,53,12,37,33,23,58
"185",49,28,38,33,32,1,35,37,8,57,9,36,31,25,57
"186",48,28,35,27,32,1,32,31,8,47,11,46,29,19,59
"187",47,32,33,28,39,1,39,30,8,53,12,37,32,22,50
"188",48,29,34,32,36,1,41,26,8,53,8,46,29,19,57
"189",48,33,40,31,37,1,31,32,8,47,9,36,35,21,55
"190",47,49,32,29,26,2,26,28,9,52,12,45,26,19,48
"191",44,41,38,28,48,1,31,30,8,48,13,35,29,23,52
"192",51,31,40,30,41,5,32,28,7,54,10,35,34,19,51
"193",53,31,35,38,33,2,36,30,7,55,9,25,27,20,60
"194",49,56,30,29,35,4,32,35,7,47,11,34,29,20,54
"195",48,33,44,30,32,1,33,30,9,61,11,35,31,20,58
"196",47,42,38,27,28,3,35,29,8,52,8,33,29,24,57
"197",48,32,32,35,37,1,33,34,9,56,10,46,30,21,54
"198",44,38,30,32,37,1,33,34,11,49,11,34,27,20,47
"199",48,29,34,28,29,1,30,31,8,54,10,38,37,27,55
"200",47,41,33,32,34,1,33,33,10,53,8,37,32,22,53
"201",52,34,42,31,28,1,30,26,11,53,11,45,36,23,46
"202",44,33,45,34,28,1,31,34,7,56,12,32,27,20,48
"203",49,34,36,26,38,4,35,31,10,57,8,42,27,22,52
"204",53,20,38,30,30,1,30,29,8,55,10,35,34,22,56
"205",51,31,43,31,28,1,33,34,10,53,12,44,31,18,58
"206",39,23,35,32,35,1,33,35,10,58,14,35,28,23,58
"207",49,33,44,32,35,2,35,34,10,47,10,46,30,23,51
"208",43,30,37,37,23,1,32,29,7,50,13,42,29,25,51
"209",47,32,42,29,38,1,33,34,9,49,12,36,40,23,57
"210",50,27,42,33,28,3,30,34,8,51,8,45,31,26,48
"211",54,26,35,30,29,2,28,31,9,54,10,40,27,23,53
"212",55,30,34,29,37,2,34,27,9,60,10,36,36,17,57
"213",46,30,38,34,38,1,28,32,10,53,8,46,29,21,59
"214",54,32,37,33,27,1,31,29,10,62,10,45,31,16,50
"215",52,38,29,28,36,2,35,27,7,58,11,41,25,24,45
"216",44,28,38,34,32,3,28,30,8,49,9,47,35,18,56
"217",50,28,27,27,36,1,31,32,7,50,9,39,33,19,55
"218",49,30,35,29,35,1,35,30,10,49,13,42,27,22,43
"219",44,31,36,36,40,10,33,27,9,48,11,36,34,22,61
"220",50,37,37,31,35,2,31,33,12,60,11,44,39,17,55
"221",55,22,46,29,35,2,33,28,9,51,7,32,33,27,50
"222",43,19,36,28,39,4,27,33,8,57,10,39,26,20,56
"223",42,24,39,27,31,2,25,28,9,50,11,37,32,21,55
"224",49,36,34,36,36,2,31,36,9,55,11,46,35,20,50
"225",53,23,34,31,34,1,31,27,9,53,10,41,32,23,50
"226",45,21,35,28,35,2,27,31,10,58,12,32,28,26,54
"227",48,35,39,27,41,5,30,34,7,43,12,40,29,24,51
"228",47,36,37,32,34,2,28,29,8,53,14,44,31,22,56
"229",53,33,41,30,35,2,30,32,7,45,11,41,30,19,51
"230",43,34,31,34,40,3,28,28,10,54,6,38,26,21,55
"231",54,35,31,31,34,2,28,30,9,56,11,38,29,25,54
"232",52,39,35,29,31,1,31,29,10,56,10,36,31,23,55
"233",53,34,33,37,37,1,32,36,8,48,12,40,33,21,57
"234",51,28,37,27,34,3,40,31,9,50,9,42,31,19,53
"235",47,42,35,29,42,4,35,23,6,51,15,42,33,21,55
"236",50,35,50,28,24,7,36,35,11,51,12,38,31,20,52
"237",43,26,40,34,37,1,28,28,10,48,14,43,28,21,55
"238",43,31,38,35,33,2,25,38,9,60,9,39,33,23,56
"239",47,34,40,32,35,5,35,33,7,47,13,37,31,20,58
"240",48,26,37,37,28,1,34,34,9,55,10,43,37,21,52
"241",50,30,39,29,22,1,30,29,9,61,10,33,34,22,44
"242",51,32,33,34,33,1,37,29,10,48,8,42,29,24,60
"243",51,31,37,29,38,1,32,29,10,56,14,36,33,25,52
"244",44,24,34,36,35,1,35,30,9,53,5,44,31,24,55
"245",42,27,43,25,33,2,29,29,11,57,12,46,38,25,53
"246",49,28,26,33,41,1,28,33,9,54,11,35,38,17,55
"247",39,29,35,34,39,1,30,26,8,52,9,39,32,25,61
"248",49,34,37,26,30,5,31,30,6,55,13,33,28,21,60
"249",43,27,36,33,39,1,31,37,5,49,10,43,31,26,54
"250",47,39,38,33,37,1,36,35,9,51,11,41,31,18,61
"251",44,43,37,35,40,1,35,31,8,63,11,33,27,21,51
"252",43,28,39,31,29,11,35,25,7,52,11,37,35,22,55
"253",41,29,41,33,34,1,33,28,9,50,13,47,36,24,56
"254",47,35,34,30,31,1,31,29,7,52,11,41,32,21,54
"255",43,31,37,27,24,2,25,34,8,54,10,37,29,20,51
"256",50,30,42,29,28,4,28,29,10,52,7,45,28,21,55
"257",49,27,36,27,29,1,33,30,9,54,10,48,28,24,51
"258",43,35,38,29,33,3,24,31,10,51,17,49,28,20,54
"259",47,33,46,31,33,1,32,36,6,48,12,47,32,24,55
"260",57,29,39,41,38,3,34,27,9,59,10,49,33,22,53
"261",44,36,31,31,41,1,31,33,9,50,15,38,31,25,55
"262",51,39,46,29,29,3,29,34,8,57,9,46,32,23,55
"263",40,23,43,28,28,1,32,29,12,65,10,37,33,21,55
"264",38,38,45,37,40,1,31,31,13,49,9,44,29,23,54
"265",42,29,34,31,34,12,28,32,10,54,14,37,35,22,49
"266",48,30,31,41,39,1,31,33,7,60,15,48,28,23,54
"267",47,29,35,30,30,1,30,30,11,51,10,51,27,22,57
"268",52,35,38,38,37,10,33,27,7,49,11,45,27,22,52
"269",48,30,33,36,39,1,27,32,12,57,10,38,28,23,58
"270",50,32,36,28,26,1,34,31,9,51,10,54,34,21,53
"271",44,30,44,32,31,2,32,25,9,52,12,46,26,18,55
"272",46,31,43,33,30,3,29,32,8,57,12,39,31,22,58
"273",51,35,37,38,34,1,40,39,9,50,17,31,29,18,54
"274",53,31,34,35,32,2,40,31,8,54,11,37,28,19,60
"275",49,22,42,28,36,1,37,29,12,60,10,36,32,24,51
"276",45,32,42,29,30,1,33,30,8,46,11,35,33,30,53
"277",42,34,41,33,30,1,31,36,9,47,12,37,28,25,48
"278",45,27,37,36,37,4,32,37,9,62,11,43,33,23,58
"279",48,27,38,33,39,3,28,39,9,47,8,42,33,20,52
"280",57,33,41,31,34,1,25,36,9,52,7,36,34,24,51
"281",41,30,26,33,31,5,31,34,10,57,11,38,34,20,50
"282",50,33,30,31,23,1,36,34,8,51,13,35,32,22,56
