"","v Australia","v Bangladesh","v Bermuda","v Canada","v England","v Hong Kong","v India","v Ireland","v Kenya","v Netherlands","v New Zealand","v Pakistan","v Scotland","v South Africa","v Sri Lanka","v U.A.E.","v West Indies","v Zimbabwe"
"1",179,257,216,222,182,224,216,240,232,249,233,306,236,145,165,223,229,195
"2",221,316,241,184,262,283,193,267,278,197,187,269,265,137,201,260,285,249
"3",208,217,221,275,260,229,145,256,231,227,220,267,254,129,198,240,252,209
"4",199,243,226,206,211,261,178,261,244,210,196,273,257,135,195,208,268,217
"5",227,355,263,252,273,302,287,273,274,232,191,295,322,166,191,270,269,291
