"","v Afghanistan","v Australia","v Bangladesh","v Bermuda","v Canada","v Hong Kong","v India","v Ireland","v Kenya","v Netherlands","v New Zealand","v Pakistan","v Scotland","v South Africa","v Sri Lanka","v U.A.E.","v West Indies","v Zimbabwe"
"1",407,253,334,252,461,315,278,317,259,315,296,348,333,317,280,296,320,257
"2",402,281,413,253,456,353,309,358,272,317,270,344,286,283,290,306,299,276
"3",298,245,369,294,303,284,272,262,308,303,253,355,261,240,247,286,262,288
"4",267,288,427,296,298,297,300,220,296,309,249,426,232,308,310,306,335,327
"5",753,289,372,1988,484,305,335,338,331,327,239,402,288,317,274,310,258,260
