"","v Afghanistan","v Australia","v Bangladesh","v Bermuda","v Canada","v England","v Hong Kong","v India","v Ireland","v Kenya","v Netherlands","v New Zealand","v Pakistan","v Scotland","v South Africa","v Sri Lanka","v U.A.E.","v West Indies"
"1",249,162,236,313,286,247,238,238,251,334,345,393,289,242,222,210,340,285
"2",276,161,243,307,308,243,193,233,262,339,345,399,227,249,227,230,366,270
"3",262,175,225,303,301,229,187,230,241,322,315,375,228,219,166,200,330,283
"4",242,157,208,291,293,222,181,238,247,315,304,385,225,219,193,211,352,284
"5",258,165,197,298,302,228,180,235,219,315,311,383,253,228,186,180,332,272
"6",249,158,234,302,289,239,202,257,259,329,341,396,272,238,239,208,343,284
"7",258,164,216,300,298,223,182,241,217,310,300,386,251,234,192,197,331,272
"8",253,145,225,311,288,250,194,223,257,327,329,380,241,246,192,229,353,271
"9",227,151,217,301,309,243,221,239,254,328,345,402,231,256,224,247,357,286
"10",256,160,201,291,286,223,200,223,229,304,313,363,270,248,196,197,319,273
